	Cluster_0	Cluster_1	Cluster_2
A1BG	0.339286	1	0
A1CF	0.132143	0	0
A2M	1	1	1
A3GALT2	0.0107143	0	0
A4GALT	0.994643	1	1
A4GNT	0.373214	1	1
AAAS	1	1	1
AACS	1	1	1
AADAC	0.155357	1	0
AADACL2	0.130357	0	0
AADACL3	0.1375	0	0
AADACL4	0.198214	0	0
AADAT	0.0857143	0	0
AAED1	1	1	1
AAK1	0.644643	0	0
AAMDC	1	1	1
AAMP	1	1	1
AANAT	0.0446429	0	0
AAR2	1	1	1
AARS	1	1	1
AARS2	1	1	1
AARSD1	1	1	1
AASDH	1	1	1
AASDHPPT	1	1	1
AASS	0.933929	1	1
AATF	1	1	1
AATK	0.285714	0	0
ABAT	0.596429	0	1
ABCA1	1	1	1
ABCA10	0.516071	0	1
ABCA12	0.446429	0	1
ABCA13	0.146429	1	0
ABCA2	0.117857	1	0
ABCA3	0.996429	1	1
ABCA4	0.998214	1	1
ABCA5	0.928571	1	1
ABCA6	0.958929	1	1
ABCA7	0.248214	0	0
ABCA8	0.825	1	1
ABCA9	0.526786	0	0
ABCB1	0.857143	1	0
ABCB10	0.998214	1	1
ABCB11	0.405357	0	0
ABCB4	0.583929	0	1
ABCB5	0.0125	0	0
ABCB6	1	1	1
ABCB7	1	1	1
ABCB8	0.55	0	0
ABCB9	1	1	1
ABCC1	0.991071	1	1
ABCC10	1	1	1
ABCC11	0.8625	0	1
ABCC12	0.948214	1	1
ABCC13	0.516071	0	1
ABCC2	0.65	0	1
ABCC3	0.335714	1	0
ABCC4	0.919643	1	1
ABCC5	1	1	1
ABCC6	0.405357	0	1
ABCC8	0.844643	0	1
ABCC9	0.514286	1	1
ABCD1	0.991071	1	1
ABCD2	0.242857	0	0
ABCD3	1	1	1
ABCD4	0.569643	0	0
ABCE1	1	1	1
ABCF1	1	1	1
ABCF2	1	1	1
ABCF3	1	1	1
ABCG1	0.610714	0	0
ABCG2	0.244643	0	0
