	Cluster_0	Cluster_1	Cluster_2
A1BG	0.25663716814159293	0.3203125	0.41450777202072536
A1CF	0.07964601769911504	0.1640625	0.11917098445595854
A2M	1.0	1.0	1.0
A3GALT2	0.008849557522123894	0.00390625	0.02072538860103627
A4GALT	0.9911504424778761	1.0	0.9896373056994818
A4GNT	0.6460176991150443	0.30078125	0.3160621761658031
AAAS	1.0	1.0	1.0
AACS	1.0	1.0	1.0
AADAC	0.10619469026548672	0.21484375	0.10880829015544041
AADACL2	0.09734513274336283	0.13671875	0.13989637305699482
AADACL3	0.05309734513274336	0.15234375	0.16580310880829016
AADACL4	0.26548672566371684	0.171875	0.19170984455958548
AADAT	0.08849557522123894	0.125	0.031088082901554404
AAED1	1.0	1.0	1.0
AAK1	0.4690265486725664	0.671875	0.7046632124352331
AAMDC	1.0	1.0	1.0
AAMP	1.0	1.0	1.0
AANAT	0.02654867256637168	0.05078125	0.046632124352331605
AAR2	1.0	1.0	1.0
AARS	1.0	1.0	1.0
AARS2	1.0	1.0	1.0
AARSD1	1.0	1.0	1.0
AASDH	1.0	1.0	1.0
AASDHPPT	1.0	1.0	1.0
AASS	0.9292035398230089	0.94921875	0.917098445595855
AATF	1.0	1.0	1.0
AATK	0.35398230088495575	0.25390625	0.2849740932642487
ABAT	0.6548672566371682	0.46875	0.7305699481865285
ABCA1	1.0	1.0	1.0
ABCA10	0.504424778761062	0.52734375	0.5077720207253886
ABCA12	0.4690265486725664	0.42578125	0.46113989637305697
ABCA13	0.1592920353982301	0.203125	0.06735751295336788
ABCA2	0.168141592920354	0.1171875	0.09326424870466321
ABCA3	1.0	0.9921875	1.0
ABCA4	0.9911504424778761	1.0	1.0
ABCA5	0.9911504424778761	0.921875	0.9015544041450777
ABCA6	0.8849557522123894	0.98828125	0.9637305699481865
ABCA7	0.11504424778761062	0.26953125	0.29533678756476683
ABCA8	0.7964601769911505	0.87890625	0.772020725388601
ABCA9	0.7079646017699115	0.515625	0.43005181347150256
ABCB1	0.8584070796460177	0.93359375	0.7512953367875648
ABCB10	1.0	0.99609375	1.0
ABCB11	0.22123893805309736	0.44140625	0.46113989637305697
ABCB4	0.6371681415929203	0.62890625	0.49222797927461137
ABCB5	0.0	0.0234375	0.0051813471502590676
ABCB6	1.0	1.0	1.0
ABCB7	1.0	1.0	1.0
ABCB8	0.48672566371681414	0.53515625	0.6010362694300518
ABCB9	1.0	1.0	1.0
ABCC1	0.9823008849557522	0.99609375	0.9896373056994818
ABCC10	1.0	1.0	1.0
ABCC11	0.8053097345132744	0.828125	0.9378238341968912
ABCC12	0.9646017699115044	0.94140625	0.9481865284974094
ABCC13	0.5575221238938053	0.47265625	0.5492227979274611
ABCC2	0.4336283185840708	0.74609375	0.6476683937823834
ABCC3	0.2743362831858407	0.34765625	0.35751295336787564
ABCC4	0.9380530973451328	0.98828125	0.8186528497409327
ABCC5	1.0	1.0	1.0
ABCC6	0.5663716814159292	0.36328125	0.36787564766839376
ABCC8	0.8407079646017699	0.75	0.9689119170984456
ABCC9	0.7522123893805309	0.51953125	0.37305699481865284
ABCD1	0.9911504424778761	0.98828125	0.9948186528497409
ABCD2	0.23008849557522124	0.2421875	0.24870466321243523
ABCD3	1.0	1.0	1.0
ABCD4	0.5486725663716814	0.5390625	0.616580310880829
ABCE1	1.0	1.0	1.0
ABCF1	1.0	1.0	1.0
ABCF2	1.0	1.0	1.0
ABCF3	1.0	1.0	1.0
ABCG1	0.8141592920353983	0.54296875	0.5751295336787565
ABCG2	0.22123893805309736	0.24609375	0.2538860103626943
ABCG4	0.2743362831858407	0.53125	0.45595854922279794
ABCG5	0.9734513274336283	0.9453125	0.9430051813471503
ABCG8	0.09734513274336283	0.1640625	0.22797927461139897
ABHD1	0.8141592920353983	0.734375	0.8290155440414507
ABHD11	1.0	1.0	1.0
ABHD12	1.0	1.0	1.0
ABHD12B	0.415929203539823	0.453125	0.5284974093264249
ABHD13	0.18584070796460178	0.203125	0.23834196891191708
ABHD14A	1.0	1.0	1.0
ABHD14B	1.0	1.0	1.0
ABHD15	1.0	0.99609375	0.9896373056994818
ABHD16A	1.0	1.0	1.0
ABHD16B	0.18584070796460178	0.06640625	0.06217616580310881
ABHD17A	0.9823008849557522	0.984375	0.9844559585492227
ABHD17B	0.9911504424778761	1.0	0.9792746113989638
ABHD17C	1.0	1.0	1.0
ABHD2	0.5575221238938053	0.515625	0.6683937823834197
ABHD3	1.0	1.0	1.0
ABHD4	1.0	0.99609375	1.0
ABHD5	1.0	0.99609375	1.0
