	variance
A1BG	0.224754
A1CF	0.114539
A2M	0
A3GALT2	0.010581
A4GALT	0.00531905
A4GNT	0.234904
AAAS	0
AACS	0
AADAC	0.132301
AADACL2	0.113222
AADACL3	0.11845
AADACL4	0.158782
AADAT	0.0782538
AAED1	0
AAK1	0.230146
AAMDC	0
AAMP	0
AANAT	0.0425809
AAR2	0
AARS	0
AARS2	0
AARSD1	0
AASDH	0
AASDHPPT	0
AASS	0.0616115
AATF	0
AATK	0.204008
ABAT	0.241197
ABCA1	0
ABCA10	0.250189
ABCA12	0.247591
ABCA13	0.1261
ABCA2	0.105192
ABCA3	0.00355238
ABCA4	0.00177936
ABCA5	0.0662264
ABCA6	0.0393204
ABCA7	0.18649
ABCA8	0.144226
ABCA9	0.249824
ABCB1	0.123575
ABCB10	0.00177936
ABCB11	0.241197
ABCB4	0.243439
ABCB5	0.0123223
ABCB6	0
ABCB7	0
ABCB8	0.248133
ABCB9	0
ABCC1	0.00883336
ABCC10	0
ABCC11	0.11974
ABCC12	0.049026
ABCC13	0.250189
ABCC2	0.228066
ABCC3	0.2236
ABCC4	0.0737911
ABCC5	0
ABCC6	0.241536
ABCC8	0.132301
ABCC9	0.250189
ABCD1	0.00883336
ABCD2	0.183759
ABCD3	0
ABCD4	0.245866
ABCE1	0
ABCF1	0
ABCF2	0
ABCF3	0
ABCG1	0.238644
ABCG2	0.184676
ABCG4	0.248302
ABCG5	0.0474242
ABCG8	0.143062
ABHD1	0.17026
ABHD11	0
ABHD12	0
ABHD12B	0.249634
ABHD13	0.167206
ABHD14A	0
ABHD14B	0
ABHD15	0.00531905
ABHD16A	0
ABHD16B	0.0811972
ABHD17A	0.0157859
ABHD17B	0.00883336
ABHD17C	0
ABHD2	0.244581
ABHD3	0
ABHD4	0.00177936
ABHD5	0.00177936
ABHD6	0
ABHD8	0
ABI1	0
ABI2	0
ABI3	0
ABI3BP	0.0175081
ABL1	0.123575
ABL2	0.105192
ABLIM1	0
ABLIM2	0.0343819
ABLIM3	0.0646945
ABO	0.0997107
ABR	0.117152
ABRA	0.161988
ABRACL	0
ABT1	0.0841152
ABTB1	0
ABTB2	0.231149
ACAA1	0
ACACA	0
ACACB	0
ACAD10	0.00177936
ACAD11	0
ACAD8	0
ACAD9	0
ACADL	0.176198
ACADM	0.00177936
ACADSB	0.0458161
ACADVL	0
ACAN	0.190043
ACAP1	0.0175081
ACAP2	0
ACAP3	0.122303
ACAT1	0
ACAT2	0
ACBD3	0
ACBD4	0.0870078
ACBD5	0.209945
ACBD6	0
ACCS	0
ACCSL	0.226987
ACD	0
ACE	0.109236
ACE2	0.237454
ACER1	0.0997107
ACER2	0.240499
ACER3	0
ACHE	0.247198
ACIN1	0
ACKR1	0.0360344
ACKR2	0.239027
ACKR3	0
ACKR4	0.144226
ACLY	0
ACMSD	0
ACN9	0
ACO1	0
ACO2	0
ACOT1	0.00531905
ACOT11	0.0631562
ACOT12	0.208499
ACOT13	0
ACOT2	0.00883336
ACOT4	0
ACOT6	0.0692713
ACOT7	0.229636
ACOT8	0.00177936
ACOT9	0
ACOX1	0.239027
ACOX2	0.00177936
ACOX3	0
ACOXL	0.0569395
ACP1	0
ACP2	0
ACP5	0.00177936
ACP6	0
ACPP	0.249989
ACPT	0.00177936
ACR	0.250243
ACRBP	0.216796
ACRC	0.0175081
ACRV1	0.249047
