	Cluster_0	Cluster_1	Cluster_2
A1BG	0.422222	0.334347	0.300699
A1CF	0.133333	0.118541	0.160839
A2M	1	1	1
A3GALT2	0.0111111	0.00303951	0.027972
A4GALT	0.977778	1	0.993007
A4GNT	0.322222	0.413374	0.321678
AAAS	1	1	1
AACS	1	1	1
AADAC	0.133333	0.164134	0.153846
AADACL2	0.244444	0.106383	0.111888
AADACL3	0.2	0.133739	0.104895
AADACL4	0.111111	0.212766	0.216783
AADAT	0.0777778	0.0607903	0.146853
AAED1	1	1	1
AAK1	0.744444	0.6231	0.622378
AAMDC	1	1	1
AAMP	1	1	1
AANAT	0.0666667	0.0334347	0.0559441
AAR2	1	1	1
AARS	1	1	1
AARS2	1	1	1
AARSD1	1	1	1
AASDH	1	1	1
AASDHPPT	1	1	1
AASS	0.855556	0.960486	0.923077
AATF	1	1	1
AATK	0.344444	0.273556	0.272727
ABAT	0.544444	0.696049	0.398601
ABCA1	1	1	1
ABCA10	0.455556	0.568389	0.433566
ABCA12	0.444444	0.458967	0.41958
ABCA13	0.177778	0.103343	0.230769
ABCA2	0.122222	0.103343	0.153846
ABCA3	0.988889	1	0.993007
ABCA4	1	0.99696	1
ABCA5	0.888889	0.954407	0.895105
ABCA6	0.811111	0.987842	0.986014
ABCA7	0.311111	0.240122	0.223776
ABCA8	0.577778	0.911854	0.783217
ABCA9	0.466667	0.580547	0.433566
ABCB1	0.644444	0.924012	0.832168
ABCB10	0.988889	1	1
ABCB11	0.488889	0.367781	0.433566
ABCB4	0.422222	0.650456	0.531469
ABCB5	0.0333333	0.0121581	0
ABCB6	1	1	1
ABCB7	1	1	1
ABCB8	0.433333	0.610942	0.475524
ABCB9	1	1	1
ABCC1	0.988889	0.993921	0.986014
ABCC10	1	1	1
ABCC11	0.866667	0.902736	0.762238
ABCC12	0.866667	0.966565	0.958042
ABCC13	0.466667	0.56535	0.433566
ABCC2	0.644444	0.604863	0.755245
ABCC3	0.377778	0.331307	0.321678
ABCC4	0.733333	0.978723	0.902098
ABCC5	1	1	1
ABCC6	0.322222	0.480243	0.286713
ABCC8	0.677778	0.954407	0.692308
ABCC9	0.444444	0.580547	0.412587
ABCD1	0.966667	0.993921	1
ABCD2	0.244444	0.240122	0.244755
ABCD3	1	1	1
ABCD4	0.566667	0.56535	0.573427
ABCE1	1	1	1
ABCF1	1	1	1
ABCF2	1	1	1
ABCF3	1	1	1
ABCG1	0.522222	0.604863	0.671329
ABCG2	0.233333	0.279635	0.167832
ABCG4	0.566667	0.407295	0.48951
ABCG5	0.911111	0.960486	0.951049
ABCG8	0.211111	0.151976	0.195804
ABHD1	0.588889	0.869301	0.706294
ABHD11	1	1	1
ABHD12	1	1	1
ABHD12B	0.555556	0.483283	0.391608
