	Cluster_0	Cluster_1	Cluster_2
A1BG	0.26087	0.325991	0.411168
A1CF	0.101449	0.162996	0.116751
A2M	1	1	1
A3GALT2	0.00724638	0.00440529	0.0203046
A4GALT	0.992754	1	0.989848
A4GNT	0.652174	0.30837	0.258883
AAAS	1	1	1
AACS	1	1	1
AADAC	0.101449	0.215859	0.126904
AADACL2	0.0797101	0.145374	0.147208
AADACL3	0.0652174	0.132159	0.192893
AADACL4	0.26087	0.167401	0.187817
AADAT	0.0724638	0.132159	0.0406091
AAED1	1	1	1
AAK1	0.507246	0.660793	0.715736
AAMDC	1	1	1
AAMP	1	1	1
AANAT	0.0289855	0.0484581	0.0507614
AAR2	1	1	1
AARS	1	1	1
AARS2	1	1	1
AARSD1	1	1	1
AASDH	1	1	1
AASDHPPT	1	1	1
AASS	0.942029	0.955947	0.903553
AATF	1	1	1
AATK	0.311594	0.268722	0.284264
ABAT	0.65942	0.471366	0.695431
ABCA1	1	1	1
ABCA10	0.5	0.555066	0.482234
ABCA12	0.471014	0.418502	0.461929
ABCA13	0.152174	0.202643	0.0812183
ABCA2	0.137681	0.118943	0.106599
ABCA3	0.992754	0.995595	1
ABCA4	0.992754	1	1
ABCA5	0.971014	0.942731	0.883249
ABCA6	0.905797	0.995595	0.954315
ABCA7	0.130435	0.268722	0.304569
ABCA8	0.811594	0.898678	0.751269
ABCA9	0.724638	0.497797	0.416244
ABCB1	0.855072	0.947137	0.751269
ABCB10	1	1	0.994924
ABCB11	0.224638	0.436123	0.492386
ABCB4	0.644928	0.651982	0.461929
ABCB5	0	0.0264317	0.00507614
ABCB6	1	1	1
ABCB7	1	1	1
ABCB8	0.507246	0.537445	0.588832
ABCB9	1	1	1
ABCC1	0.985507	1	0.984772
ABCC10	1	1	1
ABCC11	0.818841	0.819383	0.939086
ABCC12	0.971014	0.942731	0.939086
ABCC13	0.565217	0.475771	0.527919
ABCC2	0.478261	0.748899	0.654822
ABCC3	0.311594	0.343612	0.345178
ABCC4	0.942029	0.991189	0.822335
ABCC5	1	1	1
ABCC6	0.550725	0.370044	0.345178
ABCC8	0.855072	0.744493	0.949239
ABCC9	0.724638	0.53304	0.350254
ABCD1	0.992754	0.982379	1
ABCD2	0.224638	0.242291	0.253807
ABCD3	1	1	1
ABCD4	0.543478	0.54185	0.614213
ABCE1	1	1	1
ABCF1	1	1	1
ABCF2	1	1	1
ABCF3	1	1	1
ABCG1	0.775362	0.53304	0.57868
ABCG2	0.217391	0.281938	0.218274
ABCG4	0.275362	0.54185	0.477157
ABCG5	0.971014	0.951542	0.93401
ABCG8	0.0869565	0.162996	0.243655
ABHD1	0.818841	0.744493	0.80203
ABHD11	1	1	1
ABHD12	1	1	1
ABHD12B	0.413043	0.427313	0.563452
ABHD13	0.195652	0.193833	0.243655
ABHD14A	1	1	1
ABHD14B	1	1	1
ABHD15	1	0.995595	0.989848
ABHD16A	1	1	1
ABHD16B	0.173913	0.061674	0.0609137
ABHD17A	0.985507	0.982379	0.984772
ABHD17B	0.992754	1	0.979695
ABHD17C	1	1	1
