	Cluster_0	Cluster_1	Cluster_2
A1BG	5.4514608058608065	5.428227192982457	5.467245142857142
A1CF	5.35184652014652	5.366106140350878	5.361339428571428
A2M	7.289591941391942	7.383629824561404	7.003225714285714
A3GALT2	5.293554578754579	5.297042105263158	5.309769714285715
A4GALT	6.504887179487179	6.466640350877193	6.384025142857142
A4GNT	5.436639926739926	5.451882456140351	5.44441142857143
AAAS	6.209548717948718	6.058528947368422	6.359437142857143
AACS	7.451880952380952	7.627707017543861	7.719929142857143
AADAC	5.35699597069597	5.4033877192982445	5.3114354285714285
AADACL2	5.360800732600732	5.353608771929824	5.366622857142858
AADACL3	5.366195238095239	5.354955263157895	5.387304571428571
AADACL4	5.343837728937729	5.346301754385966	5.383363428571428
AADAT	5.350780219780219	5.403670175438596	5.343334857142857
AAED1	6.515646153846154	6.736824561403509	6.368090857142857
AAK1	5.536675824175823	5.552371052631578	5.543793142857143
AAMDC	8.22076263736264	7.923884210526316	8.521444571428573
AAMP	6.60752673992674	6.6702280701754395	6.852200000000002
AANAT	5.266628205128206	5.254397368421054	5.268769714285714
AAR2	8.797436263736264	8.692435964912281	8.859302857142858
AARS	10.55936446886447	11.106730701754387	10.601785142857143
AARS2	7.262451648351648	7.389963157894737	7.355447428571428
AARSD1	8.060981684981686	7.812440350877193	8.263101714285714
AASDH	7.169155677655676	7.032095614035088	7.132021714285713
AASDHPPT	6.96217326007326	6.948785964912281	6.950558857142857
AASS	5.8082754578754585	5.735798245614035	5.697615428571429
AATF	8.645729304029304	8.631459649122807	8.749745714285714
AATK	5.431205128205129	5.426428947368421	5.449425714285714
ABAT	5.631512087912087	5.434931578947368	5.659294285714286
ABCA1	9.355355677655677	9.452240350877192	9.087796571428571
ABCA10	5.532339926739927	5.458916666666667	5.502260571428571
ABCA12	5.5204615384615385	5.567831578947367	5.553325714285714
ABCA13	5.35187435897436	5.519158771929824	5.328339428571429
ABCA2	5.348723809523809	5.372383333333332	5.346425714285714
ABCA3	7.770553846153847	7.0387508771929825	8.230012
ABCA4	6.34263663003663	6.359993859649122	6.257695999999999
ABCA5	5.929227106227106	5.915027192982456	5.956993142857144
ABCA6	6.274267765567766	6.08398245614035	5.871298285714286
ABCA7	5.431699633699634	5.403279824561404	5.436262285714285
ABCA8	6.003691575091574	5.762236842105263	5.659249142857143
ABCA9	5.524051648351648	5.507401754385965	5.497698857142858
ABCB1	5.924124175824176	5.880724561403508	5.632320571428571
ABCB10	7.024886080586081	7.147628947368422	7.027224
ABCB11	5.459481318681319	5.47655	5.476944
ABCB4	5.564410256410256	5.590314912280701	5.496682857142857
ABCB5	5.167679853479854	5.164829824561403	5.168168571428571
ABCB6	7.170280586080587	7.361677192982456	7.443697142857142
ABCB7	7.61891684981685	7.540444736842104	7.714473142857143
ABCB8	5.535588278388278	5.474959649122807	5.572304571428571
