	Cluster_0	Cluster_1	Cluster_2
A1BG	5.46628064516129	5.444823225806451	5.428083593749999
A1CF	5.359269175627239	5.350365806451612	5.3631390625
A2M	7.068308243727598	7.36631741935484	7.3712476562500004
A3GALT2	5.307378853046594	5.284798709677419	5.2993
A4GALT	6.415714336917562	6.525409677419355	6.4751
A4GNT	5.440120430107527	5.434850322580646	5.45542109375
AAAS	6.3412584229390685	6.133934193548387	6.08445078125
AACS	7.657012903225806	7.53096193548387	7.4320625
AADAC	5.317236559139785	5.3712929032258065	5.40537421875
AADACL2	5.360658064516128	5.3636819354838705	5.359177343750001
AADACL3	5.379010394265233	5.367833548387097	5.355128125
AADACL4	5.373409677419355	5.336807096774194	5.34412734375
AADAT	5.343236917562725	5.355636774193548	5.3982671875
AAED1	6.364196774193549	6.588206451612903	6.75314375
AAK1	5.547741218637992	5.520196129032258	5.556221875
AAMDC	8.389521505376344	8.296510967741934	7.90787578125
AAMP	6.753591756272401	6.57469935483871	6.71926015625
AANAT	5.274289964157707	5.2498425806451605	5.262289062500001
AAR2	8.843303225806453	8.785989032258064	8.70238984375
AARS	10.549163082437278	10.580601290322582	11.10137890625
AARS2	7.34275340501792	7.194115483870967	7.41087734375
AARSD1	8.240541218637992	7.944123870967743	7.866084375
AASDH	7.165699641577061	7.17530258064516	6.99640703125
AASDHPPT	6.934201075268818	7.000198709677419	6.9492953125
AASS	5.7403645161290315	5.807661290322581	5.74120078125
AATF	8.74096200716846	8.545139354838708	8.6894609375
AATK	5.440355197132617	5.431411612903226	5.43166796875
ABAT	5.675230107526882	5.608021290322581	5.4275703125
ABCA1	9.114585663082437	9.452713548387099	9.48274921875
ABCA10	5.516386021505376	5.5428870967741934	5.44782578125
ABCA12	5.544952329749103	5.549834838709677	5.51863046875
ABCA13	5.314035483870967	5.345990322580645	5.5582875000000005
ABCA2	5.341915053763441	5.3631548387096775	5.36401953125
ABCA3	8.209855197132615	7.614599999999999	6.97826796875
ABCA4	6.307586021505376	6.293179354838709	6.3782546875
ABCA5	5.931755555555556	5.98292129032258	5.88401015625
ABCA6	5.95664623655914	6.437877419354839	6.048054687499999
ABCA7	5.43855376344086	5.424630322580645	5.406246875
ABCA8	5.719141577060932	6.168831612903225	5.737984375
ABCA9	5.504000716845879	5.52767806451613	5.51250703125
ABCB1	5.7062293906810035	6.019064516129032	5.846496875
ABCB10	7.028250537634409	7.0153948387096765	7.141560156250001
ABCB11	5.480326523297491	5.454516774193548	5.459133593749999
ABCB4	5.510551612903226	5.581061935483871	5.59211640625
ABCB5	5.156844802867384	5.1821	5.17196484375
ABCB6	7.377337275985664	7.107772903225806	7.3389289062500005
ABCB7	7.713977060931899	7.553369032258064	7.55184375
ABCB8	5.560972043010753	5.5270658064516125	5.48678046875
ABCB9	7.2139960573476705	6.993456774193548	7.095748437500001
ABCC1	5.879907168458781	5.850527096774194	5.9853749999999994
ABCC10	6.340517921146953	6.229864516129032	6.49412421875
ABCC11	6.159671326164874	6.188615483870968	5.953090625000001
ABCC12	6.265101433691756	6.204585806451613	6.05855703125
ABCC13	5.678035842293907	5.6656883870967745	5.48838671875
ABCC2	5.5521250896057355	5.613356129032258	5.650934375
ABCC3	5.457156989247312	5.4291987096774195	5.44521875
ABCC4	5.775334767025089	6.091546451612903	6.36614765625
ABCC5	8.226293548387098	7.8905974193548385	7.41088203125
ABCC6	5.506488888888889	5.516016774193549	5.4239890625000005
ABCC8	7.218849103942652	6.783127096774194	5.610079687500001
ABCC9	5.484297849462366	5.53787935483871	5.54754765625
ABCD1	5.988484229390681	5.879290322580645	6.13728359375
ABCD2	5.398911827956989	5.406238709677418	5.408205468749999
ABCD3	7.1984279569892475	6.940950967741936	6.6653640625
ABCD4	5.538002508960573	5.51194129032258	5.49918046875
ABCE1	7.781359498207885	7.698264516129031	8.06356640625
ABCF1	8.31487741935484	8.250633548387096	8.630793749999999
ABCF2	6.346017204301075	6.4206993548387095	6.56545078125
ABCF3	6.6686168458781365	6.4601096774193545	6.60885546875
ABCG1	5.552463082437276	5.5285141935483875	5.535401562500001
ABCG2	5.399170967741935	5.418063870967742	5.31818671875
ABCG4	5.486816845878137	5.501883870967742	5.5193015625
ABCG5	5.766659498207885	5.736757419354839	5.78635859375
ABCG8	5.390309677419355	5.375216774193548	5.3853671875
ABHD1	5.85224623655914	5.77345870967742	5.56099140625
ABHD11	6.896475268817205	6.982741290322581	6.913564062499999
ABHD12	7.6721179211469535	7.295768387096776	7.45971484375
ABHD12B	5.637291039426524	5.586675483870968	5.467999218749999
ABHD13	5.432850537634408	5.417060645161291	5.42702890625
ABHD14A	8.03007741935484	7.822172258064517	7.410471093750001
ABHD14B	7.181155913978495	6.969018064516129	6.74043359375
ABHD15	6.4114634408602145	6.4096012903225805	6.3575335937499995
ABHD16A	8.57132329749104	8.570075483870967	8.565334374999999
ABHD16B	5.32673440860215	5.307263870967742	5.3307421875
ABHD17A	5.791356630824374	5.733581290322581	5.766874218749999
ABHD17B	5.8295964157706095	5.93746129032258	6.00699296875
ABHD17C	9.63179964157706	9.215116129032257	9.200310156250001
ABHD2	5.565272759856631	5.538203225806453	5.4997375
ABHD3	7.493910752688173	7.41741870967742	7.3123070312500005
ABHD4	6.491250537634409	6.394114838709677	6.2485968750000005
ABHD5	6.79353046594982	6.834309677419355	6.927942187499999
ABHD6	6.330743010752688	6.318902580645162	6.39320859375
ABHD8	8.33018817204301	8.19852322580645	8.193519531249999
ABI1	6.375922222222223	6.427872903225807	6.55139296875
ABI2	5.985693548387096	5.958750967741937	5.996358593750001
ABI3	6.439903942652331	6.532491612903226	6.76356953125
ABI3BP	6.560644086021505	7.350292903225807	7.029170312500001
ABL1	5.66911146953405	5.691473548387097	5.69631484375
ABL2	5.636306810035842	5.67935870967742	5.7262375
ABLIM1	6.682730107526882	6.866291612903226	6.930504687500001
ABLIM2	6.293045519713262	6.224990322580646	6.07516953125
ABLIM3	6.367527240143369	6.167867096774193	5.775104687500001
ABO	5.338992831541218	5.337703225806452	5.3371515625
ABR	5.692244802867384	5.679191612903227	5.6295625
ABRA	5.403484229390681	5.411423225806452	5.39895
ABRACL	7.31898888888889	7.420814838709678	8.23755625
ABT1	5.757238709677419	5.773677419354838	5.8731046875
ABTB1	7.315626881720429	7.2484819354838725	7.048089843750001
ABTB2	5.611384587813621	5.614836129032258	6.01190390625
ACAA1	8.681572759856632	8.649634838709678	8.309956249999999
ACACA	8.97213835125448	8.715285161290323	8.576431249999999
ACACB	7.980097849462365	8.1952	7.273109375
ACAD10	6.968314336917563	6.724385806451615	6.65867265625
ACAD11	8.085775268817205	7.949031612903226	7.77729296875
ACAD8	6.43885770609319	6.4862180645161285	6.44917421875
ACAD9	8.391211111111112	8.248536129032258	8.370009375
ACADL	5.376443727598566	5.529182580645162	5.47289609375
ACADM	8.33507347670251	8.587310967741935	8.548242187500001
ACADSB	6.491827956989248	6.2513903225806455	5.7367335937499995
ACADVL	9.148107885304661	8.952343870967741	8.8057171875
ACAN	5.43136917562724	5.40816064516129	5.43816640625
ACAP1	6.235759856630825	6.7127929032258065	7.03077109375
ACAP2	6.716736917562724	6.751333548387096	6.8558031249999996
ACAP3	5.77601577060932	5.7089006451612905	5.7044
ACAT1	9.340644444444443	9.422737419354839	9.154490625
ACAT2	6.482459498207885	6.443329677419354	6.79333203125
ACBD3	8.941589605734766	8.896107741935484	8.942162499999998
ACBD4	5.847122580645161	5.738310322580644	5.68539765625
ACBD5	5.559753046594981	5.5731677419354835	5.60377578125
ACBD6	7.836919713261648	7.720516129032257	7.726189843749999
ACCS	6.4112720430107535	6.333853548387097	6.27298671875
ACCSL	5.4502107526881725	5.450737419354838	5.45711796875
ACD	7.50652759856631	7.440990967741935	7.640967968750001
ACE	5.392304659498207	5.375296774193548	5.387501562500001
ACE2	5.447150537634408	5.581550322580646	6.0942687499999995
ACER1	5.36398422939068	5.367734838709678	5.37583359375
ACER2	5.557560215053764	5.575413548387097	5.49568828125
ACER3	8.015468817204303	7.820381935483871	7.99243125
ACHE	5.47470752688172	5.472567741935484	5.512564843750001
ACIN1	8.905793189964157	8.659935483870967	8.5306578125
ACKR1	7.0092	8.556896129032259	7.340583593750001
ACKR2	5.508019713261649	5.486561290322581	5.4351132812500005
ACKR3	7.679705376344086	8.000280645161288	7.6089023437500005
ACKR4	5.403789964157706	5.445061290322581	5.4332109375
ACLY	9.81206559139785	9.514765806451614	9.457753125
ACMSD	6.607958422939069	6.411937419354838	6.1851031249999995
ACN9	6.952391397849462	7.284062580645162	7.57183046875
ACO1	9.257539068100359	9.573694193548388	9.436207812500001
ACO2	7.583423297491039	7.4709696774193555	7.649064843750001
ACOT1	6.410018996415771	6.500434838709678	6.16221953125
ACOT11	5.769047311827957	5.6734212903225805	5.854978125000001
ACOT12	5.433993906810036	5.415412258064515	5.43000078125
ACOT13	8.361940860215054	8.336771612903226	8.696940625
ACOT2	6.124907885304659	6.286794193548387	6.07620234375
ACOT4	8.592717204301076	8.324811612903225	7.28387578125
ACOT6	5.306166666666666	5.312328387096775	5.313926562500001
ACOT7	5.4565211469534045	5.441045161290323	5.46874921875
ACOT8	6.155528673835125	6.078894838709679	6.09784375
ACOT9	6.482599283154122	6.762203225806451	7.1675859375
ACOX1	5.448997491039426	5.5044458064516135	5.4981046875
ACOX2	9.137680286738352	8.766594193548386	7.36520546875
ACOX3	8.290653046594983	8.169305806451613	7.88340625
ACOXL	5.3110810035842295	5.29949870967742	5.29347890625
ACP1	9.331315770609319	9.534710967741935	9.5211875
ACP2	7.904307885304659	7.720491612903225	8.02711015625
ACP5	7.007286021505376	6.849015483870967	7.44858046875
ACP6	7.140882078853046	7.009345161290322	6.77938203125
ACPP	5.498995340501793	5.577868387096775	5.63042890625
ACPT	5.985990322580645	5.911006451612902	5.95597890625
ACR	5.508193189964158	5.5000709677419355	5.50265703125
ACRBP	5.570614695340502	5.577041290322581	5.6134140625
ACRC	5.871324731182796	5.869769677419355	5.90987890625
ACRV1	5.499100716845879	5.4806522580645165	5.56828515625
ACSBG1	5.41966523297491	5.517156774193548	5.576048437499999
ACSBG2	5.37940394265233	5.4164309677419356	5.381492187499999
ACSF2	7.183828315412186	6.952401935483871	6.44410390625
ACSF3	5.562391397849462	5.542340645161291	5.5764140625000005
ACSL1	6.758335125448029	7.200398709677419	7.335553124999999
ACSL3	7.393177777777779	7.375954838709679	7.07451953125
ACSL4	5.962505017921147	6.199269032258064	6.269039062499999
