	Cluster_0	Cluster_1	Cluster_2
A1BG	5.4396878205128205	5.466601851851851	5.444512105263158
A1CF	5.360248717948718	5.358025462962963	5.355222631578948
A2M	7.381036538461539	7.061502777777777	7.266476842105263
A3GALT2	5.297144871794872	5.308486574074074	5.290658947368422
A4GALT	6.513857051282052	6.407022222222222	6.474511052631579
A4GNT	5.4482910256410255	5.451191666666667	5.426834210526316
AAAS	6.075085897435897	6.347986574074075	6.210011052631578
AACS	7.5322301282051285	7.668887037037037	7.49159052631579
AADAC	5.404878205128205	5.312788888888889	5.35381
AADACL2	5.3597	5.36109675925926	5.362415263157894
AADACL3	5.358520512820513	5.38376574074074	5.365220526315791
AADACL4	5.3469461538461545	5.377772222222222	5.340591052631579
AADAT	5.396601282051281	5.340080092592593	5.350199473684211
AAED1	6.744234615384615	6.390704166666667	6.466803157894737
AAK1	5.545540384615385	5.550470370370371	5.529687894736842
AAMDC	7.976423717948717	8.461275462962963	8.24676947368421
AAMP	6.67655	6.8255537037037035	6.565970526315791
AANAT	5.250119871794872	5.269744444444444	5.2712736842105254
AAR2	8.720579487179487	8.84940787037037	8.795438421052632
AARS	11.006464743589744	10.548131481481482	10.572533157894737
AARS2	7.361341025641025	7.313811574074074	7.285031052631579
AARSD1	7.837491025641025	8.244037962962963	8.073411578947367
AASDH	7.036400641025639	7.149576851851851	7.183974210526316
AASDHPPT	6.967680769230769	6.954255555555556	6.947922631578948
AASS	5.754413461538461	5.7110662037037025	5.81760052631579
AATF	8.638365384615385	8.752358796296297	8.617797368421053
AATK	5.431303846153846	5.441969444444445	5.432803157894737
ABAT	5.450744871794872	5.6817615740740735	5.630446315789473
ABCA1	9.477806410256411	9.117253703703703	9.337196315789475
ABCA10	5.468095512820513	5.501648148148148	5.548221052631581
ABCA12	5.550558974358974	5.550665277777777	5.5201047368421055
ABCA13	5.511408333333334	5.319021296296297	5.336931052631579
ABCA2	5.3651910256410265	5.349091203703704	5.346864736842106
ABCA3	7.098119871794872	8.214105092592591	7.802513157894736
ABCA4	6.330952564102564	6.295745833333334	6.337716842105261
ABCA5	5.9145692307692315	5.958524074074075	5.9250099999999986
ABCA6	6.157244230769231	5.8653157407407415	6.349936842105262
ABCA7	5.413962820512821	5.437045370370369	5.427335789473684
ABCA8	5.844142307692307	5.666277777777778	6.056153684210527
ABCA9	5.511683333333334	5.498062962962963	5.529489473684211
ABCB1	5.896156410256411	5.640136574074074	5.97513
