	variance
A1BG	0.0151999
A1CF	0.0169525
A2M	0.208764
A3GALT2	0.00775521
A4GALT	0.209558
A4GNT	0.0313755
AAAS	0.06069
AACS	0.332045
AADAC	0.0337439
AADACL2	0.0176182
AADACL3	0.0138989
AADACL4	0.0317404
AADAT	0.0109873
AAED1	0.108498
AAK1	0.0142484
AAMDC	0.640672
AAMP	0.183113
AANAT	0.0214033
AAR2	0.135714
AARS	0.241941
AARS2	0.0907743
AARSD1	0.170269
AASDH	0.0996241
AASDHPPT	0.127003
AASS	0.0350036
AATF	0.192764
AATK	0.0127237
ABAT	0.0637569
ABCA1	0.333373
ABCA10	0.0168714
ABCA12	0.0679496
ABCA13	0.120579
ABCA2	0.0165511
ABCA3	0.751997
ABCA4	0.276277
ABCA5	0.10379
ABCA6	0.185726
ABCA7	0.0129635
ABCA8	0.147886
ABCA9	0.0150509
ABCB1	0.120171
ABCB10	0.162403
ABCB11	0.0170956
ABCB4	0.0517389
ABCB5	0.0191383
ABCB6	0.318949
ABCB7	0.1314
ABCB8	0.0315588
ABCB9	0.483929
ABCC1	0.0457456
ABCC10	0.085125
ABCC11	0.733299
ABCC12	0.729428
ABCC13	0.205829
ABCC2	0.0659371
ABCC3	0.0217468
ABCC4	0.291927
ABCC5	0.594364
ABCC6	0.0465965
ABCC8	1.35407
ABCC9	0.0186559
ABCD1	0.0751789
ABCD2	0.019489
ABCD3	0.249725
ABCD4	0.0130994
ABCE1	0.174909
ABCF1	0.123249
ABCF2	0.0453507
ABCF3	0.11341
ABCG1	0.0158238
ABCG2	0.0302248
ABCG4	0.0288959
ABCG5	0.0266664
ABCG8	0.0152579
ABHD1	0.103555
ABHD11	0.320301
ABHD12	0.364537
ABHD12B	0.118244
ABHD13	0.00818019
ABHD14A	0.256653
ABHD14B	0.230355
ABHD15	0.152092
ABHD16A	0.148517
ABHD16B	0.0175994
ABHD17A	0.018781
ABHD17B	0.0457389
ABHD17C	0.587728
ABHD2	0.021408
ABHD3	0.41779
ABHD4	0.0923194
ABHD5	0.15937
ABHD6	0.104532
ABHD8	0.157271
ABI1	0.0333377
ABI2	0.0341745
ABI3	0.175274
ABI3BP	0.697709
ABL1	0.0347278
ABL2	0.0293406
ABLIM1	0.164991
ABLIM2	0.187606
ABLIM3	0.289243
ABO	0.0180526
ABR	0.0271439
ABRA	0.0139177
ABRACL	0.455781
ABT1	0.0494538
ABTB1	0.144283
ABTB2	0.159305
ACAA1	0.212211
ACACA	0.446881
ACACB	0.801209
ACAD10	0.116861
ACAD11	0.206521
ACAD8	0.060455
ACAD9	0.0825049
ACADL	0.151544
ACADM	0.719245
ACADSB	0.275636
ACADVL	0.255473
ACAN	0.0164386
ACAP1	0.552191
ACAP2	0.113824
ACAP3	0.0594632
ACAT1	0.374129
ACAT2	0.098345
ACBD3	0.201398
ACBD4	0.0525694
ACBD5	0.0189036
ACBD6	0.126688
ACCS	0.126737
ACCSL	0.0158245
ACD	0.151736
ACE	0.0130776
ACE2	0.595763
ACER1	0.0130165
ACER2	0.0278922
ACER3	0.538265
ACHE	0.013856
ACIN1	0.158085
ACKR1	1.91765
ACKR2	0.0486143
ACKR3	0.625063
ACKR4	0.00741641
ACLY	0.266393
ACMSD	0.358763
ACN9	0.404691
ACO1	0.264061
ACO2	0.201538
ACOT1	0.133878
ACOT11	0.0510323
ACOT12	0.0162054
ACOT13	0.226319
ACOT2	0.0906796
ACOT4	0.760704
ACOT6	0.0317445
ACOT7	0.018304
ACOT8	0.0715562
ACOT9	0.187667
ACOX1	0.029204
ACOX2	2.43542
ACOX3	0.355946
ACOXL	0.0172093
ACP1	0.253624
ACP2	0.261553
ACP5	0.824923
ACP6	0.316414
ACPP	0.111296
ACPT	0.0304496
ACR	0.0194012
ACRBP	0.0270963
ACRC	0.0386305
ACRV1	0.0285581
ACSBG1	0.130345
ACSBG2	0.0166945
ACSF2	0.566194
ACSF3	0.0470373
ACSL1	0.627665
ACSL3	0.262466
ACSL4	0.053459
ACSL5	0.0289761
ACSL6	0.00687966
ACSM1	0.115341
ACSM2B	0.0046819
ACSM3	0.0902159
ACSM4	0.0170581
ACSM5	0.0232165
ACSS1	0.476668
ACSS2	0.0499389
ACSS3	0.0302121
ACTA1	1.10447
ACTA2	0.620398
ACTB	0.154986
ACTBL2	0.0192858
ACTC1	0.0798487
ACTG1	0.276907
ACTG2	2.58413
ACTL10	0.0993917
ACTL6A	0.206509
ACTL6B	0.128895
ACTL7A	0.0175651
ACTL7B	0.0349602
ACTL8	0.0696199
ACTL9	0.0189862
ACTN1	0.406874
ACTN2	0.047347
ACTN3	0.0172729
ACTN4	0.235829
ACTR10	0.215015
ACTR1A	0.0985592
ACTR1B	0.0928843
ACTR2	0.149685
ACTR3	0.487378
ACTR3B	0.00837882
ACTR3BP2	0.0168012
ACTR3BP5	0.0192615
ACTR5	0.103436
ACTR6	0.189713
ACTR8	0.0539983
ACTRT1	0.108019
ACTRT2	0.0165812
ACTRT3	0.0480333
ACVR1	0.200807
ACVR1B	0.00857938
ACVR1C	0.0082021
ACVR2A	0.0555865
ACVR2B	0.0203072
ACVRL1	0.151767
ACY1	0.273499
ACY3	0.262856
ACYP1	0.0490198
ACYP2	0.0893103
ADA	0.38023
