	Cluster_0	Cluster_1	Cluster_2
A1BG	5.456557553956835	5.450824137931034	5.417731034482758
A1CF	5.356592805755396	5.3595597701149424	5.362822413793103
A2M	7.155936211031175	7.390835632183908	7.419462068965517
A3GALT2	5.298513669064748	5.300658620689656	5.303024137931034
A4GALT	6.434978177458033	6.567532183908045	6.473696551724138
A4GNT	5.439754916067146	5.440668965517242	5.461608620689654
AAAS	6.275619904076739	6.080313793103448	6.083789655172413
AACS	7.585296642685851	7.63247356321839	7.376134482758621
AADAC	5.329405275779377	5.44117816091954	5.382806896551724
AADACL2	5.36266067146283	5.365491954022989	5.343822413793103
AADACL3	5.374254676258993	5.362028735632183	5.3561000000000005
AADACL4	5.3627561151079135	5.328281609195403	5.355256896551724
AADAT	5.347157793764988	5.389018390804597	5.400958620689655
AAED1	6.432146762589928	6.751997701149426	6.750970689655173
AAK1	5.539197362110311	5.566601149425287	5.52598275862069
AAMDC	8.359089208633094	7.994998850574712	7.888598275862069
AAMP	6.700536690647482	6.608867816091952	6.798284482758621
AANAT	5.268870023980814	5.248988505747126	5.259391379310346
AAR2	8.829411031175061	8.724793103448276	8.6568
AARS	10.554733812949642	10.924858620689657	11.24826724137931
AARS2	7.291229496402877	7.284297701149427	7.553996551724139
AARSD1	8.150580575539568	7.764477011494254	7.982886206896551
AASDH	7.164524460431656	7.069919540229884	6.969870689655172
AASDHPPT	6.963494724220624	6.957168965517241	6.898822413793103
AASS	5.759691606714629	5.7608137931034475	5.752425862068966
AATF	8.680334052757795	8.65201724137931	8.673296551724139
AATK	5.438697122302159	5.434608045977011	5.417824137931035
ABAT	5.656818944844125	5.458136781609195	5.407070689655172
ABCA1	9.223845083932853	9.642385057471266	9.253465517241379
ABCA10	5.521121342925659	5.475268965517242	5.46353275862069
ABCA12	5.537462829736211	5.643236781609196	5.406331034482759
ABCA13	5.324341007194245	5.378066666666666	5.768331034482759
ABCA2	5.346886091127098	5.37622183908046	5.360258620689656
ABCA3	8.011462350119904	7.085174712643681	7.014498275862069
ABCA4	6.307653717026379	6.228183908045977	6.543660344827585
ABCA5	5.947552278177457	5.92950459770115	5.8529258620689655
ABCA6	6.092593285371702	6.351342528735633	5.874967241379311
ABCA7	5.431659952038369	5.425414942528736	5.399318965517242
ABCA8	5.851381294964028	5.953756321839079	5.659803448275863
