	variance
A1BG	0.015199947825629119
A1CF	0.01695250610704068
A2M	0.20876379305196616
A3GALT2	0.0077552122983551176
A4GALT	0.20955753789559822
A4GNT	0.03137552253693518
AAAS	0.06068996232173101
AACS	0.332044640721037
AADAC	0.033743927091968454
AADACL2	0.017618184263865366
AADACL3	0.013898907370449309
AADACL4	0.03174043988051967
AADAT	0.01098727049574666
AAED1	0.10849798553539369
AAK1	0.014248446008716002
AAMDC	0.6406716115680565
AAMP	0.18311335942540327
AANAT	0.02140334495356538
AAR2	0.13571422548702428
AARS	0.24194083683419926
AARS2	0.0907743150823707
AARSD1	0.17026933970210792
AASDH	0.09962414892711921
AASDHPPT	0.12700310559806774
AASS	0.03500356041946574
AATF	0.19276399164151453
AATK	0.012723725782886433
ABAT	0.06375693725544118
ABCA1	0.33337325106631527
ABCA10	0.016871369594997496
ABCA12	0.06794956176717985
ABCA13	0.12057922002182173
ABCA2	0.01655105345563654
ABCA3	0.7519970233416751
ABCA4	0.2762772954616185
ABCA5	0.1037902047773422
ABCA6	0.18572647704775405
ABCA7	0.012963521012300095
ABCA8	0.14788570860778608
ABCA9	0.015050876214309724
ABCB1	0.12017143255016147
ABCB10	0.16240343589611841
ABCB11	0.0170955976360528
ABCB4	0.0517389187542581
ABCB5	0.019138315145076475
ABCB6	0.31894923679258563
ABCB7	0.1314004880135244
ABCB8	0.03155884380373761
ABCB9	0.4839285726576526
ABCC1	0.045745632907682646
ABCC10	0.08512499530908837
ABCC11	0.7332993691660482
ABCC12	0.7294277626760803
ABCC13	0.20582901828788197
ABCC2	0.06593707369443862
ABCC3	0.021746831317106582
ABCC4	0.291926657039222
ABCC5	0.5943639808241511
ABCC6	0.04659653967851003
ABCC8	1.3540722772746938
ABCC9	0.018655944659225706
ABCD1	0.0751788557616356
ABCD2	0.019488955445125317
ABCD3	0.2497250270578086
ABCD4	0.01309941481901917
ABCE1	0.1749088957268731
ABCF1	0.12324859997703642
ABCF2	0.04535072944224535
ABCF3	0.1134103247766761
ABCG1	0.01582382187416345
ABCG2	0.03022475099387215
ABCG4	0.02889587835515506
ABCG5	0.026666351353930765
ABCG8	0.015257851414923784
ABHD1	0.10355536977946726
ABHD11	0.320300705798777
ABHD12	0.3645366493840117
ABHD12B	0.11824366076693246
ABHD13	0.008180192594946746
ABHD14A	0.2566529903079782
ABHD14B	0.23035535468412408
ABHD15	0.152092192521235
ABHD16A	0.14851748752485072
ABHD16B	0.017599440728110073
ABHD17A	0.018780959815308206
ABHD17B	0.045738889455535045
ABHD17C	0.5877277479419695
ABHD2	0.021408026938423384
ABHD3	0.41779017223086
ABHD4	0.09231942443961277
ABHD5	0.1593696719641464
ABHD6	0.10453178338481105
ABHD8	0.15727107511856053
ABI1	0.033337716508807985
ABI2	0.034174510877627004
ABI3	0.17527351396885965
ABI3BP	0.6977085953531442
ABL1	0.034727834583261966
ABL2	0.02934061873472002
ABLIM1	0.16499114432048134
ABLIM2	0.18760570973341326
ABLIM3	0.2892433647769615
ABO	0.01805256691990028
ABR	0.027143877640334685
ABRA	0.013917706168477742
ABRACL	0.45578113766380574
ABT1	0.049453831488635566
ABTB1	0.14428269141914224
ABTB2	0.1593052051140249
ACAA1	0.21221131210522645
ACACA	0.4468809859144512
ACACB	0.8012092138494745
ACAD10	0.11686059669946272
ACAD11	0.20652113234910333
ACAD8	0.0604550461917902
ACAD9	0.08250488173013365
ACADL	0.15154431360103016
ACADM	0.7192452026215579
ACADSB	0.27563585768182136
ACADVL	0.2554727553612322
ACAN	0.016438638269866336
ACAP1	0.5521911157422245
ACAP2	0.11382389529846296
ACAP3	0.0594632408231361
ACAT1	0.3741288713819691
ACAT2	0.09834498554906401
ACBD3	0.20139842410070982
ACBD4	0.05256936981533992
ACBD5	0.018903633191745806
ACBD6	0.12668794488518215
ACCS	0.12673698444925496
ACCSL	0.015824532123749527
ACD	0.1517359437121371
ACE	0.01307757792655464
ACE2	0.5957625451673422
