	Cluster_0	Cluster_1	Cluster_2
A1BG	5.44632	5.43081	5.4676
A1CF	5.3499	5.36548	5.3596
A2M	7.36228	7.35051	7.03169
A3GALT2	5.28758	5.2989	5.30896
A4GALT	6.50506	6.469	6.41761
A4GNT	5.44364	5.45417	5.43424
AAAS	6.15943	6.08042	6.3598
AACS	7.50805	7.44296	7.6931
AADAC	5.36809	5.40498	5.31
AADACL2	5.3646	5.35808	5.36011
AADACL3	5.36784	5.35843	5.37935
AADACL4	5.34033	5.34569	5.37586
AADAT	5.34843	5.39453	5.34808
AAED1	6.56006	6.74752	6.34787
AAK1	5.52095	5.55729	5.55053
AAMDC	8.26905	7.91549	8.43149
AAMP	6.55439	6.71365	6.80081
AANAT	5.25465	5.26039	5.27544
AAR2	8.7788	8.71262	8.85499
AARS	10.5263	11.098	10.5783
AARS2	7.21211	7.40197	7.35434
AARSD1	7.97656	7.87109	8.26442
AASDH	7.19366	6.99358	7.15465
AASDHPPT	7.00493	6.96229	6.91284
AASS	5.81924	5.74316	5.71978
AATF	8.5226	8.70732	8.77977
AATK	5.42967	5.43114	5.44358
ABAT	5.61522	5.43204	5.68233
ABCA1	9.41546	9.4731	9.091
ABCA10	5.55344	5.44622	5.50625
ABCA12	5.53357	5.52025	5.55692
ABCA13	5.32869	5.55348	5.32064
ABCA2	5.35941	5.3623	5.3422
ABCA3	7.68308	6.99233	8.26295
ABCA4	6.29687	6.36851	6.31077
ABCA5	5.97915	5.89349	5.92274
ABCA6	6.39219	6.06077	5.91149
ABCA7	5.41365	5.40992	5.44809
ABCA8	6.13254	5.74418	5.67638
ABCA9	5.53493	5.50999	5.49583
ABCB1	6.01155	5.85279	5.65848
ABCB10	7.02387	7.13341	7.02557
ABCB11	5.45705	5.45884	5.4828
ABCB4	5.57138	5.59625	5.50363
ABCB5	5.1796	5.17556	5.15271
ABCB6	7.11265	7.33482	7.4173
ABCB7	7.58843	7.54809	7.71564
ABCB8	5.52905	5.49423	5.56191
ABCB9	6.96017	7.10747	7.27
ABCC1	5.83776	5.98418	5.89304
ABCC10	6.23826	6.48775	6.35086
ABCC11	6.14186	5.96646	6.18968
ABCC12	6.17989	6.06501	6.29481
ABCC13	5.65806	5.49976	5.68366
ABCC2	5.59112	5.65314	5.5574
ABCC3	5.43039	5.443	5.46192
ABCC4	6.04203	6.34916	5.76433
ABCC5	7.92643	7.4298	8.25488
ABCC6	5.52559	5.42682	5.49752
ABCC8	6.83673	5.64354	7.25684
ABCC9	5.53268	5.54721	5.47923
ABCD1	5.86502	6.14288	6.0102
ABCD2	5.40149	5.41131	5.39968
ABCD3	7.02319	6.66254	7.18415
ABCD4	5.51571	5.49939	5.53962
ABCE1	7.71185	8.04779	7.78592
ABCF1	8.23507	8.6353	8.32793
ABCF2	6.41303	6.56265	6.33783
ABCF3	6.4527	6.60656	6.70864
ABCG1	5.53467	5.53309	5.5528
ABCG2	5.42903	5.32167	5.38727
ABCG4	5.4924	5.52164	5.49016
ABCG5	5.73674	5.78774	5.77001
ABCG8	5.37482	5.38445	5.39353
ABHD1	5.77835	5.56051	5.86663
ABHD11	6.92828	6.94145	6.91119
ABHD12	7.30245	7.46261	7.72653
ABHD12B	5.5737	5.47475	5.65515
ABHD13	5.41948	5.42822	5.43275
ABHD14A	7.86221	7.41603	8.0393
ABHD14B	6.97511	6.7537	7.2102
ABHD15	6.39966	6.35716	6.42107
ABHD16A	8.58663	8.56941	8.55608
ABHD16B	5.3107	5.32956	5.3275
ABHD17A	5.73928	5.76535	5.79688
ABHD17B	5.92101	6.00024	5.82653
ABHD17C	9.24267	9.20507	9.67912
ABHD2	5.54523	5.49921	5.5654
ABHD3	7.46616	7.30369	7.47499
ABHD4	6.40716	6.25512	6.49693
ABHD5	6.82197	6.93024	6.79316
ABHD6	6.29398	6.3995	6.3477
ABHD8	8.20286	8.19056	8.35114
ABI1	6.41401	6.54893	6.37688
ABI2	5.9699	5.99132	5.98341
ABI3	6.51359	6.75893	6.43686
ABI3BP	7.27688	7.0329	6.48818
ABL1	5.67478	5.69805	5.67759
ABL2	5.67633	5.72235	5.63251
ABLIM1	6.85917	6.92465	6.65875
ABLIM2	6.22663	6.07228	6.30822
ABLIM3	6.17955	5.79908	6.3874
ABO	5.33768	5.33116	5.34259
ABR	5.68062	5.63368	5.69209
ABRA	5.40436	5.39602	5.40968
ABRACL	7.39541	8.21018	7.31998
ABT1	5.76592	5.87436	5.75784
