	Cluster_0	Cluster_1	Cluster_2
A1BG	5.45498	5.46076	5.41729
A1CF	5.35731	5.34923	5.3708
A2M	7.15224	7.44757	7.40874
A3GALT2	5.29787	5.30598	5.3012
A4GALT	6.43804	6.56499	6.47958
A4GNT	5.43825	5.44982	5.45995
AAAS	6.27082	6.08679	6.08038
AACS	7.58128	7.64852	7.40403
AADAC	5.33038	5.45549	5.37774
AADACL2	5.36149	5.36928	5.34881
AADACL3	5.37501	5.35536	5.35751
AADACL4	5.36059	5.34519	5.34321
AADAT	5.34856	5.38661	5.39968
AAED1	6.43757	6.76319	6.7466
AAK1	5.53992	5.55213	5.54478
AAMDC	8.35289	8.00655	7.8692
AAMP	6.7017	6.57503	6.80891
AANAT	5.26769	5.25129	5.26137
AAR2	8.82628	8.73584	8.653
AARS	10.5617	10.9183	11.2467
AARS2	7.29042	7.27459	7.55726
AARSD1	8.14404	7.76403	7.96138
AASDH	7.1603	7.07527	6.98375
AASDHPPT	6.96719	6.94516	6.88969
AASS	5.75844	5.76561	5.75583
AATF	8.68612	8.63813	8.64472
AATK	5.43898	5.43452	5.41619
ABAT	5.65348	5.45743	5.40446
ABCA1	9.22567	9.69362	9.2586
ABCA10	5.51747	5.49046	5.46419
ABCA12	5.53821	5.64437	5.427
ABCA13	5.32411	5.38809	5.74637
ABCA2	5.3462	5.38569	5.35855
ABCA3	7.99757	7.07861	6.98642
ABCA4	6.30662	6.18835	6.57259
ABCA5	5.94578	5.95434	5.83583
ABCA6	6.09248	6.40878	5.86672
ABCA7	5.43173	5.42365	5.40133
ABCA8	5.84734	6.01203	5.64596
ABCA9	5.51262	5.53803	5.48
ABCB1	5.79888	6.10004	5.66425
ABCB10	7.03634	6.95782	7.26343
ABCB11	5.46957	5.47065	5.45728
ABCB4	5.5315	5.70819	5.47158
ABCB5	5.16524	5.1962	5.14576
ABCB6	7.27364	7.33729	7.38522
ABCB7	7.65429	7.5529	7.58054
ABCB8	5.55262	5.47873	5.47857
ABCB9	7.13793	7.11913	7.05333
ABCC1	5.86728	5.99535	5.9728
ABCC10	6.30581	6.40293	6.54731
ABCC11	6.11954	6.62364	5.50957
ABCC12	6.19861	6.60593	5.72323
ABCC13	5.67601	5.50622	5.47411
ABCC2	5.55474	5.78042	5.61608
ABCC3	5.44495	5.46719	5.43399
ABCC4	5.87375	6.51744	6.21887
ABCC5	8.11374	7.49798	7.34373
ABCC6	5.5044	5.49577	5.38535
ABCC8	7.06474	5.95604	5.36481
ABCC9	5.49892	5.57207	5.54312
ABCD1	5.95114	6.08217	6.1689
ABCD2	5.40008	5.43256	5.38751
ABCD3	7.12987	6.54096	6.71281
ABCD4	5.52833	5.51485	5.48632
ABCE1	7.77191	7.85881	8.13313
ABCF1	8.30038	8.43086	8.7732
ABCF2	6.37454	6.4897	6.62037
ABCF3	6.59773	6.55267	6.65102
ABCG1	5.54356	5.54292	5.52975
ABCG2	5.40042	5.3582	5.31893
ABCG4	5.49203	5.52228	5.51323
ABCG5	5.76137	5.75042	5.78893
ABCG8	5.38612	5.38312	5.3797
ABHD1	5.82978	5.52878	5.59551
ABHD11	6.91283	7.07866	6.81333
ABHD12	7.55269	7.37715	7.46679
ABHD12B	5.6219	5.47629	5.4589
ABHD13	5.42626	5.42662	5.43423
ABHD14A	7.94658	7.65768	7.24264
ABHD14B	7.09427	6.93428	6.62761
ABHD15	6.40812	6.59388	6.09264
ABHD16A	8.58161	8.52764	8.53743
ABHD16B	5.32052	5.3334	5.3209
ABHD17A	5.77022	5.79131	5.74085
ABHD17B	5.86538	5.95302	6.07425
ABHD17C	9.4923	8.96396	9.46291
ABHD2	5.55653	5.48908	5.51369
ABHD3	7.46578	7.37185	7.26501
ABHD4	6.44973	6.38497	6.1559
ABHD5	6.80201	6.90209	6.98647
ABHD6	6.30824	6.64058	6.20797
ABHD8	8.28745	8.13049	8.25285
ABI1	6.39248	6.55648	6.5385
ABI2	5.98386	5.8828	6.07896
ABI3	6.46853	6.92162	6.56213
ABI3BP	6.79154	7.7101	6.52449
ABL1	5.67628	5.71069	5.68183
ABL2	5.64646	5.73514	5.74198
ABLIM1	6.74624	7.0129	6.81959
ABLIM2	6.25409	6.14019	6.12289
ABLIM3	6.28804	6.01858	5.60124
ABO	5.3387	5.33275	5.34157
ABR	5.68984	5.63733	5.61188
ABRA	5.40472	5.41966	5.38563
ABRACL	7.35518	8.00747	8.406
ABT1	5.76888	5.8177	5.88648
ABTB1	7.27644	7.23315	6.95869
ABTB2	5.61793	5.75959	6.23267
ACAA1	8.64117	8.57042	8.23947
ACACA	8.87365	8.75894	8.43908
ACACB	8.00624	7.7684	7.12087
ACAD10	6.8733	6.70774	6.68269
ACAD11	8.03109	7.84689	7.76659
