	Cluster_0	Cluster_1	Cluster_2
A1BG	0.0	0.7701149425287356	0.6526315789473685
A1CF	0.14736842105263157	0.14942528735632185	0.1
A2M	1.0	1.0	1.0
A3GALT2	0.021052631578947368	0.0	0.0
A4GALT	1.0	0.9885057471264368	0.9894736842105263
A4GNT	0.3263157894736842	0.5057471264367817	0.3894736842105263
AAAS	1.0	1.0	1.0
AACS	1.0	1.0	1.0
AADAC	0.16842105263157894	0.19540229885057472	0.12105263157894737
AADACL2	0.11228070175438597	0.11494252873563218	0.1631578947368421
AADACL3	0.14385964912280702	0.10344827586206896	0.14210526315789473
AADACL4	0.20350877192982456	0.1839080459770115	0.19473684210526315
AADAT	0.10877192982456141	0.034482758620689655	0.07368421052631578
AAED1	1.0	1.0	1.0
AAK1	0.6631578947368421	0.6206896551724138	0.6210526315789474
AAMDC	1.0	1.0	1.0
AAMP	1.0	1.0	1.0
AANAT	0.05263157894736842	0.022988505747126436	0.042105263157894736
AAR2	1.0	1.0	1.0
AARS	1.0	1.0	1.0
AARS2	1.0	1.0	1.0
AARSD1	1.0	1.0	1.0
AASDH	1.0	1.0	1.0
AASDHPPT	1.0	1.0	1.0
AASS	0.9403508771929825	0.9310344827586207	0.9263157894736842
AATF	1.0	1.0	1.0
AATK	0.2736842105263158	0.2988505747126437	0.29473684210526313
ABAT	0.5719298245614035	0.6781609195402298	0.5947368421052631
ABCA1	1.0	1.0	1.0
ABCA10	0.512280701754386	0.5172413793103449	0.5210526315789473
ABCA12	0.47368421052631576	0.41379310344827586	0.42105263157894735
ABCA13	0.1543859649122807	0.11494252873563218	0.15263157894736842
ABCA2	0.13333333333333333	0.10344827586206896	0.10526315789473684
ABCA3	0.9964912280701754	1.0	0.9947368421052631
ABCA4	1.0	0.9885057471264368	1.0
ABCA5	0.9192982456140351	0.9770114942528736	0.9210526315789473
ABCA6	0.9754385964912281	0.9540229885057471	0.9368421052631579
ABCA7	0.24210526315789474	0.22988505747126436	0.2631578947368421
ABCA8	0.8456140350877193	0.8505747126436781	0.7842105263157895
ABCA9	0.5017543859649123	0.5747126436781609	0.5368421052631579
ABCB1	0.8736842105263158	0.8620689655172413	0.8263157894736842
ABCB10	1.0	1.0	0.9947368421052631
ABCB11	0.4070175438596491	0.3218390804597701	0.4368421052631579
ABCB4	0.5824561403508772	0.6551724137931034	0.5526315789473685
ABCB5	0.014035087719298246	0.0	0.015789473684210527
ABCB6	1.0	1.0	1.0
ABCB7	1.0	1.0	1.0
ABCB8	0.5508771929824562	0.5862068965517241	0.5263157894736842
ABCB9	1.0	1.0	1.0
ABCC1	0.9929824561403509	0.9885057471264368	0.9894736842105263
ABCC10	1.0	1.0	1.0
ABCC11	0.8771929824561403	0.7816091954022989	0.8736842105263158
ABCC12	0.9649122807017544	0.9540229885057471	0.9210526315789473
ABCC13	0.5228070175438596	0.5517241379310345	0.48947368421052634
ABCC2	0.6771929824561403	0.5402298850574713	0.6578947368421053
ABCC3	0.3333333333333333	0.3333333333333333	0.34210526315789475
ABCC4	0.9298245614035088	0.9655172413793104	0.8842105263157894
ABCC5	1.0	1.0	1.0
ABCC6	0.3824561403508772	0.4942528735632184	0.4
ABCC8	0.8385964912280702	0.8735632183908046	0.8368421052631579
ABCC9	0.5368421052631579	0.5977011494252874	0.4473684210526316
ABCD1	0.9859649122807017	0.9885057471264368	1.0
ABCD2	0.23508771929824562	0.25287356321839083	0.24736842105263157
ABCD3	1.0	1.0	1.0
ABCD4	0.5368421052631579	0.6896551724137931	0.5578947368421052
ABCE1	1.0	1.0	1.0
ABCF1	1.0	1.0	1.0
ABCF2	1.0	1.0	1.0
ABCF3	1.0	1.0	1.0
