	Cluster_0	Cluster_1	Cluster_2
A1BG	0.6455026455026455	0.0	0.7752808988764045
A1CF	0.10582010582010581	0.1443661971830986	0.14606741573033707
A2M	1.0	1.0	1.0
A3GALT2	0.0	0.02112676056338028	0.0
A4GALT	0.9947089947089947	0.9964788732394366	0.9887640449438202
A4GNT	0.3915343915343915	0.323943661971831	0.5056179775280899
AAAS	1.0	1.0	1.0
AACS	1.0	1.0	1.0
AADAC	0.1111111111111111	0.17253521126760563	0.20224719101123595
AADACL2	0.164021164021164	0.11267605633802817	0.11235955056179775
AADACL3	0.12698412698412698	0.14788732394366197	0.12359550561797752
AADACL4	0.19576719576719576	0.20422535211267606	0.1797752808988764
AADAT	0.07407407407407407	0.10915492957746478	0.033707865168539325
AAED1	1.0	1.0	1.0
AAK1	0.6243386243386243	0.6619718309859155	0.6179775280898876
AAMDC	1.0	1.0	1.0
AAMP	1.0	1.0	1.0
AANAT	0.042328042328042326	0.0528169014084507	0.02247191011235955
AAR2	1.0	1.0	1.0
AARS	1.0	1.0	1.0
AARS2	1.0	1.0	1.0
AARSD1	1.0	1.0	1.0
AASDH	1.0	1.0	1.0
AASDHPPT	1.0	1.0	1.0
AASS	0.9206349206349206	0.9436619718309859	0.9325842696629213
AATF	1.0	1.0	1.0
AATK	0.2857142857142857	0.27816901408450706	0.30337078651685395
ABAT	0.5978835978835979	0.5704225352112676	0.6741573033707865
ABCA1	1.0	1.0	1.0
ABCA10	0.5291005291005291	0.5070422535211268	0.5168539325842697
ABCA12	0.4126984126984127	0.4823943661971831	0.4044943820224719
ABCA13	0.15343915343915343	0.15492957746478872	0.11235955056179775
ABCA2	0.10052910052910052	0.13380281690140844	0.11235955056179775
ABCA3	0.9947089947089947	0.9964788732394366	1.0
ABCA4	1.0	1.0	0.9887640449438202
ABCA5	0.9312169312169312	0.9190140845070423	0.9550561797752809
ABCA6	0.9365079365079365	0.9753521126760564	0.9550561797752809
ABCA7	0.25925925925925924	0.24295774647887325	0.23595505617977527
ABCA8	0.7883597883597884	0.8415492957746479	0.8539325842696629
ABCA9	0.5396825396825397	0.5	0.5730337078651685
ABCB1	0.8359788359788359	0.8697183098591549	0.8539325842696629
ABCB10	1.0	1.0	0.9887640449438202
ABCB11	0.43915343915343913	0.40492957746478875	0.3258426966292135
ABCB4	0.5502645502645502	0.5809859154929577	0.6629213483146067
ABCB5	0.015873015873015872	0.014084507042253521	0.0
ABCB6	1.0	1.0	1.0
ABCB7	1.0	1.0	1.0
ABCB8	0.5396825396825397	0.545774647887324	0.5730337078651685
ABCB9	1.0	1.0	1.0
ABCC1	0.9894179894179894	0.9929577464788732	0.9887640449438202
ABCC10	1.0	1.0	1.0
ABCC11	0.873015873015873	0.8767605633802817	0.7865168539325843
ABCC12	0.9206349206349206	0.9647887323943662	0.9550561797752809
ABCC13	0.48677248677248675	0.5246478873239436	0.550561797752809
ABCC2	0.656084656084656	0.6795774647887324	0.5393258426966292
ABCC3	0.3439153439153439	0.33098591549295775	0.33707865168539325
ABCC4	0.8835978835978836	0.9295774647887324	0.9662921348314607
ABCC5	1.0	1.0	1.0
ABCC6	0.4021164021164021	0.38380281690140844	0.48314606741573035
ABCC8	0.8412698412698413	0.8380281690140845	0.8651685393258427
ABCC9	0.4444444444444444	0.5387323943661971	0.5955056179775281
ABCD1	1.0	0.9859154929577465	0.9887640449438202
ABCD2	0.24338624338624337	0.23943661971830985	0.24719101123595505
ABCD3	1.0	1.0	1.0
ABCD4	0.5661375661375662	0.5352112676056338	0.6741573033707865
ABCE1	1.0	1.0	1.0
ABCF1	1.0	1.0	1.0
ABCF2	1.0	1.0	1.0
ABCF3	1.0	1.0	1.0
ABCG1	0.5714285714285714	0.5950704225352113	0.7303370786516854
ABCG2	0.291005291005291	0.2147887323943662	0.23595505617977527
ABCG4	0.48677248677248675	0.44366197183098594	0.4157303370786517
ABCG5	0.9312169312169312	0.9683098591549296	0.9325842696629213
ABCG8	0.1693121693121693	0.19718309859154928	0.10112359550561797
ABHD1	0.7724867724867724	0.7887323943661971	0.7865168539325843
ABHD11	1.0	1.0	1.0
ABHD12	1.0	1.0	1.0
ABHD12B	0.5132275132275133	0.44366197183098594	0.47191011235955055
ABHD13	0.164021164021164	0.24295774647887325	0.21348314606741572
ABHD14A	1.0	1.0	1.0
ABHD14B	1.0	1.0	1.0
ABHD15	0.9841269841269841	1.0	1.0
