	Cluster_0	Cluster_1	Cluster_2
A1BG	0.340625	0.23931623931623933	0.432
A1CF	0.1375	0.11965811965811966	0.128
A2M	1.0	1.0	1.0
A3GALT2	0.009375	0.0	0.024
A4GALT	1.0	0.9914529914529915	0.984
A4GNT	0.340625	0.5811965811965812	0.272
AAAS	1.0	1.0	1.0
AACS	1.0	1.0	1.0
AADAC	0.196875	0.09401709401709402	0.112
AADACL2	0.11875	0.09401709401709402	0.192
AADACL3	0.134375	0.09401709401709402	0.184
AADACL4	0.175	0.3076923076923077	0.152
AADAT	0.109375	0.06837606837606838	0.04
AAED1	1.0	1.0	1.0
AAK1	0.628125	0.5641025641025641	0.752
AAMDC	1.0	1.0	1.0
AAMP	1.0	1.0	1.0
AANAT	0.046875	0.02564102564102564	0.056
AAR2	1.0	1.0	1.0
AARS	1.0	1.0	1.0
AARS2	1.0	1.0	1.0
AARSD1	1.0	1.0	1.0
AASDH	1.0	1.0	1.0
AASDHPPT	1.0	1.0	1.0
AASS	0.965625	0.9316239316239316	0.856
AATF	1.0	1.0	1.0
AATK	0.259375	0.3247863247863248	0.312
ABAT	0.55625	0.6410256410256411	0.656
ABCA1	1.0	1.0	1.0
ABCA10	0.53125	0.49572649572649574	0.496
ABCA12	0.440625	0.47863247863247865	0.432
ABCA13	0.171875	0.13675213675213677	0.096
ABCA2	0.109375	0.1452991452991453	0.12
ABCA3	0.99375	1.0	1.0
ABCA4	0.996875	1.0	1.0
ABCA5	0.9375	0.9829059829059829	0.856
ABCA6	0.99375	0.8803418803418803	0.944
ABCA7	0.240625	0.17094017094017094	0.336
ABCA8	0.89375	0.7863247863247863	0.688
ABCA9	0.51875	0.6495726495726496	0.424
ABCB1	0.928125	0.8205128205128205	0.704
ABCB10	1.0	1.0	0.992
ABCB11	0.4125	0.2564102564102564	0.52
ABCB4	0.615625	0.6239316239316239	0.464
ABCB5	0.015625	0.0	0.016
ABCB6	1.0	1.0	1.0
ABCB7	1.0	1.0	1.0
ABCB8	0.565625	0.49572649572649574	0.552
ABCB9	1.0	1.0	1.0
ABCC1	0.996875	0.9829059829059829	0.984
ABCC10	1.0	1.0	1.0
ABCC11	0.8375	0.8461538461538461	0.936
ABCC12	0.953125	0.9487179487179487	0.936
ABCC13	0.5	0.5641025641025641	0.512
ABCC2	0.7	0.47863247863247865	0.68
ABCC3	0.334375	0.28205128205128205	0.392
ABCC4	0.978125	0.9145299145299145	0.776
ABCC5	1.0	1.0	1.0
ABCC6	0.3875	0.5726495726495726	0.296
ABCC8	0.8	0.8974358974358975	0.904
ABCC9	0.534375	0.6752136752136753	0.32
ABCD1	0.984375	1.0	1.0
ABCD2	0.246875	0.19658119658119658	0.272
ABCD3	1.0	1.0	1.0
ABCD4	0.54375	0.5726495726495726	0.624
ABCE1	1.0	1.0	1.0
ABCF1	1.0	1.0	1.0
ABCF2	1.0	1.0	1.0
ABCF3	1.0	1.0	1.0
ABCG1	0.58125	0.7521367521367521	0.544
ABCG2	0.2625	0.19658119658119658	0.24
ABCG4	0.509375	0.2905982905982906	0.464
ABCG5	0.959375	0.9572649572649573	0.92
ABCG8	0.15625	0.1623931623931624	0.224
ABHD1	0.771875	0.8461538461538461	0.752
ABHD11	1.0	1.0	1.0
ABHD12	1.0	1.0	1.0
ABHD12B	0.45	0.46153846153846156	0.536
ABHD13	0.19375	0.2222222222222222	0.248
ABHD14A	1.0	1.0	1.0
ABHD14B	1.0	1.0	1.0
ABHD15	1.0	1.0	0.976
ABHD16A	1.0	1.0	1.0
ABHD16B	0.06875	0.1794871794871795	0.056
