	Cluster_0	Cluster_1	Cluster_2
A1BG	0.2608695652173913	0.32599118942731276	0.41116751269035534
A1CF	0.10144927536231885	0.16299559471365638	0.116751269035533
A2M	1.0	1.0	1.0
A3GALT2	0.007246376811594203	0.004405286343612335	0.02030456852791878
A4GALT	0.9927536231884058	1.0	0.9898477157360406
A4GNT	0.6521739130434783	0.30837004405286345	0.25888324873096447
AAAS	1.0	1.0	1.0
AACS	1.0	1.0	1.0
AADAC	0.10144927536231885	0.21585903083700442	0.12690355329949238
AADACL2	0.07971014492753623	0.14537444933920704	0.14720812182741116
AADACL3	0.06521739130434782	0.13215859030837004	0.19289340101522842
AADACL4	0.2608695652173913	0.16740088105726872	0.18781725888324874
AADAT	0.07246376811594203	0.13215859030837004	0.04060913705583756
AAED1	1.0	1.0	1.0
AAK1	0.5072463768115942	0.6607929515418502	0.7157360406091371
AAMDC	1.0	1.0	1.0
AAMP	1.0	1.0	1.0
AANAT	0.028985507246376812	0.048458149779735685	0.050761421319796954
AAR2	1.0	1.0	1.0
AARS	1.0	1.0	1.0
AARS2	1.0	1.0	1.0
AARSD1	1.0	1.0	1.0
AASDH	1.0	1.0	1.0
AASDHPPT	1.0	1.0	1.0
AASS	0.9420289855072463	0.9559471365638766	0.9035532994923858
AATF	1.0	1.0	1.0
AATK	0.3115942028985507	0.2687224669603524	0.28426395939086296
ABAT	0.6594202898550725	0.4713656387665198	0.6954314720812182
ABCA1	1.0	1.0	1.0
ABCA10	0.5	0.5550660792951542	0.48223350253807107
ABCA12	0.47101449275362317	0.4185022026431718	0.4619289340101523
ABCA13	0.15217391304347827	0.2026431718061674	0.08121827411167512
ABCA2	0.13768115942028986	0.11894273127753303	0.1065989847715736
ABCA3	0.9927536231884058	0.9955947136563876	1.0
ABCA4	0.9927536231884058	1.0	1.0
ABCA5	0.9710144927536232	0.9427312775330396	0.883248730964467
ABCA6	0.9057971014492754	0.9955947136563876	0.9543147208121827
ABCA7	0.13043478260869565	0.2687224669603524	0.30456852791878175
ABCA8	0.8115942028985508	0.8986784140969163	0.751269035532995
ABCA9	0.7246376811594203	0.4977973568281938	0.41624365482233505
ABCB1	0.855072463768116	0.947136563876652	0.751269035532995
ABCB10	1.0	1.0	0.9949238578680203
ABCB11	0.2246376811594203	0.43612334801762115	0.49238578680203043
ABCB4	0.644927536231884	0.6519823788546255	0.4619289340101523
ABCB5	0.0	0.02643171806167401	0.005076142131979695
ABCB6	1.0	1.0	1.0
ABCB7	1.0	1.0	1.0
ABCB8	0.5072463768115942	0.5374449339207048	0.5888324873096447
ABCB9	1.0	1.0	1.0
ABCC1	0.9855072463768116	1.0	0.9847715736040609
ABCC10	1.0	1.0	1.0
ABCC11	0.8188405797101449	0.8193832599118943	0.9390862944162437
ABCC12	0.9710144927536232	0.9427312775330396	0.9390862944162437
ABCC13	0.5652173913043478	0.47577092511013214	0.5279187817258884
ABCC2	0.4782608695652174	0.748898678414097	0.6548223350253807
ABCC3	0.3115942028985507	0.3436123348017621	0.34517766497461927
ABCC4	0.9420289855072463	0.9911894273127754	0.8223350253807107
ABCC5	1.0	1.0	1.0
ABCC6	0.5507246376811594	0.3700440528634361	0.34517766497461927
ABCC8	0.855072463768116	0.7444933920704846	0.949238578680203
ABCC9	0.7246376811594203	0.5330396475770925	0.350253807106599
ABCD1	0.9927536231884058	0.9823788546255506	1.0
ABCD2	0.2246376811594203	0.2422907488986784	0.25380710659898476
