	Cluster_0	Cluster_1	Cluster_2
A1BG	0.35	0.389313	0.230769
A1CF	0.135294	0.160305	0.0769231
A2M	1	1	1
A3GALT2	0.0117647	0.0152672	0
A4GALT	0.997059	0.984733	1
A4GNT	0.373529	0.274809	0.527473
AAAS	1	1	1
AACS	1	1	1
AADAC	0.167647	0.152672	0.120879
AADACL2	0.108824	0.206107	0.0989011
AADACL3	0.155882	0.167939	0.021978
AADACL4	0.205882	0.175573	0.197802
AADAT	0.0911765	0.0763359	0.0769231
AAED1	1	1	1
AAK1	0.623529	0.763359	0.538462
AAMDC	1	1	1
AAMP	1	1	1
AANAT	0.0470588	0.0381679	0.043956
AAR2	1	1	1
AARS	1	1	1
AARS2	1	1	1
AARSD1	1	1	1
AASDH	1	1	1
AASDHPPT	1	1	1
AASS	0.938235	0.89313	0.978022
AATF	1	1	1
AATK	0.267647	0.312977	0.307692
ABAT	0.588235	0.549618	0.692308
ABCA1	1	1	1
ABCA10	0.476471	0.503817	0.681319
ABCA12	0.455882	0.396947	0.483516
ABCA13	0.161765	0.152672	0.0879121
ABCA2	0.111765	0.137405	0.120879
ABCA3	0.994118	1	1
ABCA4	0.997059	1	1
ABCA5	0.944118	0.870229	0.956044
ABCA6	0.958824	0.938931	0.989011
ABCA7	0.25	0.320611	0.131868
ABCA8	0.876471	0.641221	0.901099
ABCA9	0.529412	0.442748	0.626374
ABCB1	0.897059	0.70229	0.923077
ABCB10	1	0.992366	1
ABCB11	0.382353	0.496183	0.351648
ABCB4	0.6	0.435115	0.736264
ABCB5	0.0117647	0.0229008	0
ABCB6	1	1	1
ABCB7	1	1	1
ABCB8	0.55	0.519084	0.582418
ABCB9	1	1	1
ABCC1	0.991176	0.984733	1
ABCC10	1	1	1
ABCC11	0.858824	0.854962	0.879121
ABCC12	0.958824	0.908397	0.967033
ABCC13	0.482353	0.519084	0.637363
ABCC2	0.635294	0.70229	0.626374
ABCC3	0.338235	0.343511	0.318681
ABCC4	0.95	0.793893	0.989011
ABCC5	1	1	1
ABCC6	0.426471	0.244275	0.56044
ABCC8	0.864706	0.70229	0.967033
ABCC9	0.535294	0.358779	0.67033
ABCD1	0.994118	0.984733	0.989011
ABCD2	0.229412	0.282443	0.230769
ABCD3	1	1	1
ABCD4	0.535294	0.641221	0.582418
ABCE1	1	1	1
ABCF1	1	1	1
ABCF2	1	1	1
ABCF3	1	1	1
ABCG1	0.629412	0.526718	0.648352
ABCG2	0.220588	0.244275	0.32967
ABCG4	0.452941	0.503817	0.384615
ABCG5	0.947059	0.954198	0.956044
ABCG8	0.176471	0.229008	0.0769231
ABHD1	0.779412	0.687023	0.934066
ABHD11	1	1	1
ABHD12	1	1	1
ABHD12B	0.452941	0.496183	0.505495
ABHD13	0.188235	0.259542	0.230769
ABHD14A	1	1	1
ABHD14B	1	1	1
ABHD15	0.997059	0.984733	1
ABHD16A	1	1	1
ABHD16B	0.0911765	0.0687023	0.10989
ABHD17A	0.985294	0.977099	0.989011
ABHD17B	0.991176	0.984733	1
ABHD17C	1	1	1
ABHD2	0.529412	0.664122	0.626374
ABHD3	1	1	1
ABHD4	0.997059	1	1
ABHD5	0.997059	1	1
ABHD6	1	1	1
ABHD8	1	1	1
ABI1	1	1	1
ABI2	1	1	1
ABI3	1	1	1
ABI3BP	0.991176	0.946565	1
ABL1	0.844118	0.877863	0.868132
ABL2	0.867647	0.900763	0.901099
ABLIM1	1	1	1
ABLIM2	0.970588	0.923664	1
ABLIM3	0.932353	0.885496	0.989011
ABO	0.102941	0.122137	0.131868
ABR	0.852941	0.832061	0.956044
ABRA	0.188235	0.244275	0.197802
ABRACL	1	1	1
ABT1	0.917647	0.854962	0.945055
ABTB1	1	1	1
ABTB2	0.679412	0.48855	0.703297
ACAA1	1	1	1
ACACA	1	1	1
ACACB	1	1	1
ACAD10	0.997059	1	1
ACAD11	1	1	1
ACAD8	1	1	1
ACAD9	1	1	1
ACADL	0.258824	0.10687	0.285714
ACADM	1	0.992366	1
ACADSB	0.944118	0.938931	1
ACADVL	1	1	1
ACAN	0.232353	0.335878	0.21978
ACAP1	0.991176	0.946565	1
ACAP2	1	1	1
ACAP3	0.847059	0.80916	0.967033
ACAT1	1	1	1
ACAT2	1	1	1
ACBD3	1	1	1
ACBD4	0.897059	0.870229	0.978022
ACBD5	0.697059	0.610687	0.846154
ACBD6	1	1	1
ACCS	1	1	1
ACCSL	0.341176	0.419847	0.263736
ACD	1	1	1
ACE	0.120588	0.160305	0.0879121
ACE2	0.420588	0.312977	0.362637
ACER1	0.0941176	0.129771	0.153846
ACER2	0.588235	0.603053	0.637363
ACER3	1	1	1
ACHE	0.438235	0.519084	0.351648
ACIN1	1	1	1
ACKR1	0.970588	0.923664	0.989011
ACKR2	0.344118	0.458015	0.483516
ACKR3	1	1	1
ACKR4	0.155882	0.183206	0.230769
ACLY	1	1	1
ACMSD	1	1	1
ACN9	1	1	1
ACO1	1	1	1
ACO2	1	1	1
ACOT1	0.997059	0.984733	1
ACOT11	0.935294	0.954198	0.89011
ACOT12	0.294118	0.328244	0.252747
ACOT13	1	1	1
ACOT2	0.988235	0.992366	1
ACOT4	1	1	1
ACOT6	0.0794118	0.0610687	0.0769231
ACOT7	0.341176	0.343511	0.428571
ACOT8	0.997059	1	1
ACOT9	1	1	1
ACOX1	0.402941	0.435115	0.296703
ACOX2	0.997059	1	1
ACOX3	1	1	1
ACOXL	0.0588235	0.0916031	0.021978
ACP1	1	1	1
ACP2	1	1	1
ACP5	1	1	0.989011
ACP6	1	1	1
ACPP	0.529412	0.435115	0.615385
ACPT	0.997059	1	1
ACR	0.526471	0.541985	0.428571
ACRBP	0.661765	0.671756	0.78022
ACRC	0.982353	0.969466	1
ACRV1	0.5	0.442748	0.351648
ACSBG1	0.361765	0.358779	0.362637
ACSBG2	0.188235	0.10687	0.263736
ACSF2	0.994118	0.992366	1
ACSF3	0.570588	0.633588	0.56044
ACSL1	0.997059	0.992366	1
ACSL3	1	1	1
ACSL4	0.997059	0.984733	1
ACSL5	0.361765	0.419847	0.384615
ACSL6	0.102941	0.152672	0.0659341
ACSM1	0.170588	0.19084	0.21978
ACSM2B	0.0117647	0.0229008	0.010989
ACSM3	0.673529	0.625954	0.736264
ACSM4	0.126471	0.236641	0.043956
ACSM5	0.908824	0.923664	0.934066
ACSS1	0.997059	0.992366	1
ACSS2	0.873529	0.725191	0.89011
ACSS3	0.170588	0.21374	0.241758
ACTA1	0.929412	0.862595	0.901099
ACTA2	1	1	1
ACTB	1	1	1
ACTBL2	0.00588235	0.0152672	0.010989
ACTC1	0.226471	0.122137	0.208791
ACTG1	1	1	1
ACTG2	1	1	1
ACTL10	0.882353	0.854962	0.912088
ACTL6A	1	1	1
ACTL6B	0.335294	0.381679	0.241758
ACTL7A	0.135294	0.152672	0.142857
ACTL7B	0.817647	0.839695	0.769231
ACTL8	0.561765	0.435115	0.604396
ACTL9	0.0852941	0.0305344	0.164835
ACTN1	1	1	1
ACTN2	0.982353	0.984733	1
ACTN3	0.0794118	0.145038	0.120879
ACTN4	1	1	1
ACTR10	1	1	1
ACTR1A	1	1	1
ACTR1B	1	1	1
ACTR2	1	1	1
ACTR3	1	0.992366	1
ACTR3B	0.0882353	0.175573	0.0879121
ACTR3BP2	0.223529	0.29771	0.241758
ACTR3BP5	0.197059	0.343511	0.131868
ACTR5	1	1	1
ACTR6	1	1	1
ACTR8	0.997059	0.992366	1
ACTRT1	0.991176	0.992366	1
ACTRT2	0.0441176	0.0534351	0.032967
ACTRT3	0.85	0.80916	0.923077
ACVR1	1	1	1
ACVR1B	0.770588	0.80916	0.813187
ACVR1C	0.0382353	0.0305344	0.0549451
ACVR2A	1	1	1
ACVR2B	0.314706	0.351145	0.263736
ACVRL1	0.997059	0.969466	1
ACY1	1	1	1
ACY3	0.352941	0.198473	0.285714
ACYP1	0.991176	0.992366	1
ACYP2	1	1	1
ADA	1	1	1
ADAD1	0.0323529	0.0381679	0.032967
ADAD2	0.194118	0.137405	0.296703
ADAL	0.988235	0.969466	1
ADAM10	0.994118	0.969466	1
ADAM11	0.223529	0.175573	0.208791
ADAM12	0.558824	0.305344	0.78022
ADAM15	1	1	1
ADAM17	1	1	1
ADAM18	0.252941	0.267176	0.142857
ADAM19	0.511765	0.465649	0.681319
ADAM2	0.4	0.374046	0.296703
ADAM20	0.0588235	0.0458015	0.043956
ADAM21	0.576471	0.618321	0.571429
ADAM22	0.144118	0.0458015	0.296703
ADAM23	0.35	0.29771	0.417582
ADAM28	0.720588	0.633588	0.824176
ADAM29	0.367647	0.335878	0.32967
ADAM30	0.108824	0.122137	0.0879121
ADAM32	0.497059	0.442748	0.505495
ADAM33	0.814706	0.78626	0.824176
ADAM5	0.0235294	0.0229008	0.010989
ADAM6	0.282353	0.366412	0.241758
ADAM7	0.861765	0.717557	0.912088
ADAM8	0.997059	1	1
ADAM9	1	1	1
ADAMDEC1	0.891176	0.862595	0.879121
ADAMTS1	0.985294	0.908397	1
ADAMTS10	0.220588	0.29771	0.318681
ADAMTS12	0.0970588	0.0458015	0.0879121
ADAMTS13	0.35	0.389313	0.428571
ADAMTS14	0.179412	0.114504	0.285714
ADAMTS15	0.276471	0.259542	0.351648
ADAMTS16	0.214706	0.312977	0.120879
ADAMTS17	0.558824	0.717557	0.461538
ADAMTS18	0.285294	0.167939	0.351648
ADAMTS2	0.814706	0.633588	0.901099
ADAMTS20	0.0411765	0.0381679	0.043956
ADAMTS3	0.111765	0.0916031	0.10989
ADAMTS5	0.676471	0.473282	0.868132
ADAMTS6	0.879412	0.78626	0.956044
ADAMTS7	0.567647	0.40458	0.648352
ADAMTS8	0.438235	0.259542	0.384615
ADAMTS9	1	1	1
ADAMTSL1	0.194118	0.160305	0.153846
ADAMTSL2	1	1	1
ADAMTSL3	0.791176	0.641221	0.923077
ADAMTSL4	0.770588	0.725191	0.791209
ADAMTSL4-AS1	0.208824	0.19084	0.186813
ADAP1	1	1	1
ADAP2	1	1	1
ADAR	1	1	1
ADARB1	1	1	1
ADARB2	0.464706	0.465649	0.538462
ADARB2-AS1	0.364706	0.244275	0.516484
ADAT2	0.655882	0.740458	0.516484
ADCK1	1	1	1
ADCK2	1	1	1
ADCK3	1	1	1
ADCK4	1	0.992366	1
ADCK5	1	1	1
ADCY1	0.955882	0.938931	0.978022
ADCY10	0.323529	0.267176	0.373626
ADCY2	0.997059	0.977099	0.989011
ADCY3	1	1	1
ADCY4	0.994118	1	1
ADCY5	0.211765	0.175573	0.186813
ADCY6	1	1	1
ADCY7	1	1	1
ADCY8	0.105882	0.122137	0.0549451
ADCY9	0.997059	0.992366	1
ADCYAP1	0.908824	0.89313	0.989011
ADCYAP1R1	0.114706	0.10687	0.0659341
ADD1	1	1	1
ADD2	0.0705882	0.0763359	0.0659341
ADD3	1	0.992366	1
ADGB	0.508824	0.557252	0.516484
ADH1A	0.882353	0.732824	0.956044
ADH1C	0.508824	0.251908	0.67033
ADH4	0.191176	0.145038	0.153846
ADH5	0.817647	0.755725	0.901099
ADH6	0.45	0.389313	0.340659
ADH7	0.0735294	0.0839695	0.0659341
ADHFE1	1	0.984733	1
ADI1	0.429412	0.427481	0.549451
ADIG	0.285294	0.358779	0.274725
ADIPOR1	1	1	1
ADIPOR2	1	1	1
ADIRF	1	1	1
ADK	0.982353	0.954198	1
ADM	0.997059	1	1
ADNP	1	1	1
ADNP2	1	1	1
ADO	1	1	1
ADORA1	0.417647	0.458015	0.395604
ADORA2A	1	0.992366	1
ADORA2B	0.894118	0.770992	0.923077
ADORA3	1	1	1
ADPGK	1	1	1
ADPRH	0.958824	0.862595	0.989011
ADPRHL1	0.841176	0.740458	0.835165
ADPRHL2	1	1	1
ADPRM	1	1	1
ADRA1A	0.0558824	0.0610687	0.0549451
ADRA1B	0.838235	0.80916	0.78022
ADRA1D	0.908824	0.931298	0.967033
ADRA2A	0.979412	0.969466	1
ADRA2B	0.976471	0.961832	1
ADRA2C	0.794118	0.847328	0.725275
ADRB1	0.138235	0.122137	0.153846
ADRB2	0.997059	0.992366	1
ADRB3	0.182353	0.167939	0.186813
ADRBK2	0.214706	0.221374	0.318681
ADRM1	1	1	1
ADSL	1	1	1
ADSS	1	1	1
ADSSL1	0.820588	0.80916	0.813187
ADTRP	0.673529	0.534351	0.78022
AEBP1	1	1	1
AEBP2	1	1	1
AEN	1	1	1
AES	1	1	1
AFAP1	1	1	1
AFAP1L2	1	1	1
AFF1	0.997059	0.992366	1
AFF2	0.470588	0.335878	0.527473
AFF3	0.782353	0.839695	0.846154
AFF4	1	0.977099	1
AFG3L1P	0.470588	0.519084	0.428571
AFG3L2	1	1	1
AFM	0.0117647	0.0381679	0.010989
AFMID	1	1	1
AFP	0.620588	0.450382	0.736264
AFTPH	1	1	1
AGA	1	1	1
AGAP1	0.288235	0.389313	0.252747
AGAP11	0.211765	0.221374	0.285714
AGAP2	0.167647	0.152672	0.21978
AGAP3	1	1	1
AGAP4	0.908824	0.916031	0.89011
AGAP7P	0.826471	0.740458	0.978022
AGAP8	0.988235	0.977099	0.989011
AGAP9	1	1	1
AGBL1	0.0941176	0.21374	0.0659341
AGBL2	0.25	0.351145	0.241758
AGBL3	0.117647	0.183206	0.0879121
AGBL4	0.179412	0.335878	0.175824
AGBL5	1	1	1
AGER	0.473529	0.427481	0.648352
AGFG1	1	1	1
AGFG2	0.761765	0.824427	0.78022
AGGF1	1	1	1
AGL	0.494118	0.351145	0.637363
AGMAT	0.576471	0.656489	0.516484
AGMO	0.176471	0.198473	0.186813
AGO1	1	1	1
AGO2	1	1	1
AGO3	0.997059	1	1
AGO4	0.938235	0.946565	0.978022
AGPAT1	0.132353	0.114504	0.0879121
AGPAT2	1	1	1
AGPAT3	0.917647	0.832061	0.956044
AGPAT4	0.55	0.480916	0.571429
AGPAT5	0.991176	0.961832	1
AGPAT6	0.95	0.938931	0.978022
AGPAT9	0.994118	0.977099	1
AGPS	1	1	1
AGR2	0.935294	0.832061	1
AGR3	0.870588	0.80916	1
AGRN	1	1	1
AGRP	0.311765	0.251908	0.296703
AGT	0.658824	0.633588	0.78022
AGTPBP1	1	1	1
AGTR1	0.858824	0.732824	0.989011
AGTR2	0.655882	0.633588	0.703297
AGTRAP	1	1	1
AGXT	0.420588	0.419847	0.32967
AHCTF1	1	1	1
AHCY	1	1	1
AHCYL1	1	1	1
AHCYL2	1	1	1
AHDC1	1	1	1
AHI1	1	1	1
AHNAK	1	1	1
AHNAK2	0.614706	0.679389	0.67033
AHR	0.991176	0.977099	1
AHSA1	1	1	1
AHSA2	1	1	1
AHSG	0.420588	0.335878	0.461538
AHSP	0.429412	0.519084	0.43956
AICDA	0.0764706	0.0916031	0.0769231
AIDA	0.988235	0.923664	1
AIF1	1	1	1
AIF1L	0.991176	0.969466	1
AIFM1	1	1	1
AIFM2	0.988235	0.984733	1
AIFM3	0.708824	0.549618	0.857143
AIG1	1	1	1
AIM1	1	1	1
AIM1L	0.179412	0.145038	0.153846
AIM2	0.894118	0.870229	0.901099
AIMP1	0.0852941	0.0839695	0.0879121
AIMP2	1	1	1
AIP	1	1	1
AIPL1	0.217647	0.374046	0.0769231
AIRE	0.129412	0.206107	0.0989011
AJAP1	0.347059	0.29771	0.384615
AJUBA	0.158824	0.21374	0.120879
AK2	1	1	1
AK3	1	1	1
AK5	0.423529	0.305344	0.615385
AK7	0.0647059	0.0687023	0.10989
AK8	0.711765	0.603053	0.835165
AK9	0.591176	0.633588	0.626374
AKAP1	0.985294	0.992366	1
AKAP10	1	1	1
AKAP11	1	1	1
AKAP12	0.952941	0.816794	1
AKAP13	1	1	1
AKAP14	0.102941	0.0763359	0.142857
AKAP17A	1	1	1
AKAP2	0.147059	0.129771	0.0879121
AKAP3	0.911765	0.931298	0.945055
AKAP4	0.208824	0.244275	0.21978
AKAP5	0.0647059	0.0687023	0.0659341
AKAP7	0.391176	0.381679	0.571429
AKAP8	1	1	1
AKAP8L	1	1	1
AKAP9	0.111765	0.152672	0.153846
AKIP1	1	1	1
AKIRIN1	1	1	1
AKIRIN2	1	1	1
AKNA	1	1	1
AKNAD1	0.232353	0.206107	0.263736
