	variance
A1BG	0.2247543469021384
A1CF	0.11453873040642981
A2M	0.0
A3GALT2	0.01058100367290235
A4GALT	0.00531904770966944
A4GNT	0.2349039907130759
AAAS	0.0
AACS	0.0
AADAC	0.13230060707557045
AADACL2	0.11322244847469883
AADACL3	0.11844951503733163
AADACL4	0.1587816621310446
AADAT	0.07825375378232821
AAED1	0.0
AAK1	0.23014634517669894
AAMDC	0.0
AAMP	0.0
AANAT	0.04258092755057378
AAR2	0.0
AARS	0.0
AARS2	0.0
AARSD1	0.0
AASDH	0.0
AASDHPPT	0.0
AASS	0.0616115096960816
AATF	0.0
AATK	0.20400784059984395
ABAT	0.24119676987585723
ABCA1	0.0
ABCA10	0.2501887199396096
ABCA12	0.24759104547674782
ABCA13	0.1260998090598258
ABCA2	0.10519154280929455
ABCA3	0.003552375333828128
ABCA4	0.0017793594306049823
ABCA5	0.06622642586636726
ABCA6	0.039320354476310104
ABCA7	0.186490189734904
ABCA8	0.14422643855342204
ABCA9	0.24982396711515403
ABCB1	0.1235750851618551
ABCB10	0.0017793594306049825
ABCB11	0.24119676987585723
ABCB4	0.24343920680533618
ABCB5	0.012322301939216317
ABCB6	0.0
ABCB7	0.0
ABCB8	0.24813341706789477
ABCB9	0.0
ABCC1	0.008833361879206551
ABCC10	0.0
ABCC11	0.11974042285953525
ABCC12	0.0490259513705191
ABCC13	0.2501887199396096
ABCC2	0.22806566819545673
ABCC3	0.2235998249186443
ABCC4	0.07379108226920664
ABCC5	0.0
ABCC6	0.24153614859078537
ABCC8	0.13230060707557043
ABCC9	0.2501887199396096
ABCD1	0.008833361879206551
ABCD2	0.18375930119702363
ABCD3	0.0
ABCD4	0.24586560602888843
ABCE1	0.0
ABCF1	0.0
ABCF2	0.0
ABCF3	0.0
ABCG1	0.2386435001046682
ABCG2	0.18467594090369893
ABCG4	0.24830152054351345
ABCG5	0.04742421070660551
ABCG8	0.14306240127885517
ABHD1	0.1702602749284767
ABHD11	0.0
ABHD12	0.0
ABHD12B	0.24963366129369896
ABHD13	0.16720586649412272
ABHD14A	0.0
ABHD14B	0.0
ABHD15	0.005319047709669439
ABHD16A	0.0
ABHD16B	0.08119715048750008
ABHD17A	0.015785867889698747
ABHD17B	0.008833361879206551
ABHD17C	0.0
ABHD2	0.24458104173406658
ABHD3	0.0
ABHD4	0.0017793594306049825
ABHD5	0.0017793594306049825
ABHD6	0.0
ABHD8	0.0
ABI1	0.0
ABI2	0.0
ABI3	0.0
ABI3BP	0.01750813557386721
ABL1	0.12357508516185507
ABL2	0.10519154280929455
ABLIM1	0.0
ABLIM2	0.0343819184095508
ABLIM3	0.06469446400365386
