	Cluster_0	Cluster_1	Cluster_2
A1BG	0.0	0.6648648648648648	0.7727272727272727
A1CF	0.14186851211072665	0.10810810810810811	0.14772727272727273
A2M	1.0	1.0	1.0
A3GALT2	0.020761245674740483	0.0	0.0
A4GALT	0.9965397923875432	0.9945945945945946	0.9886363636363636
A4GNT	0.3217993079584775	0.3945945945945946	0.5113636363636364
AAAS	1.0	1.0	1.0
AACS	1.0	1.0	1.0
AADAC	0.16608996539792387	0.11891891891891893	0.20454545454545456
AADACL2	0.11072664359861592	0.16756756756756758	0.11363636363636363
AADACL3	0.1453287197231834	0.13513513513513514	0.11363636363636363
AADACL4	0.2041522491349481	0.1945945945945946	0.18181818181818182
AADAT	0.10726643598615918	0.07567567567567568	0.03409090909090909
AAED1	1.0	1.0	1.0
AAK1	0.6643598615916955	0.6216216216216216	0.6136363636363636
AAMDC	1.0	1.0	1.0
AAMP	1.0	1.0	1.0
AANAT	0.05536332179930796	0.03783783783783784	0.022727272727272728
AAR2	1.0	1.0	1.0
AARS	1.0	1.0	1.0
AARS2	1.0	1.0	1.0
AARSD1	1.0	1.0	1.0
AASDH	1.0	1.0	1.0
AASDHPPT	1.0	1.0	1.0
AASS	0.9377162629757786	0.9297297297297298	0.9318181818181818
AATF	1.0	1.0	1.0
AATK	0.2698961937716263	0.2972972972972973	0.3068181818181818
ABAT	0.5709342560553633	0.6	0.6704545454545454
ABCA1	1.0	1.0	1.0
ABCA10	0.5086505190311419	0.5297297297297298	0.5113636363636364
ABCA12	0.47750865051903113	0.41621621621621624	0.4090909090909091
ABCA13	0.1522491349480969	0.15675675675675677	0.11363636363636363
ABCA2	0.12802768166089964	0.10810810810810811	0.11363636363636363
ABCA3	0.9965397923875432	0.9945945945945946	1.0
ABCA4	1.0	1.0	0.9886363636363636
ABCA5	0.9204152249134948	0.9243243243243243	0.9659090909090909
ABCA6	0.9757785467128027	0.9351351351351351	0.9545454545454546
ABCA7	0.24567474048442905	0.2594594594594595	0.22727272727272727
ABCA8	0.8373702422145328	0.7945945945945946	0.8522727272727273
ABCA9	0.5017301038062284	0.5351351351351351	0.5795454545454546
ABCB1	0.8685121107266436	0.8378378378378378	0.8522727272727273
ABCB10	1.0	1.0	0.9886363636363636
ABCB11	0.4083044982698962	0.43243243243243246	0.32954545454545453
ABCB4	0.5813148788927336	0.5513513513513514	0.6590909090909091
ABCB5	0.010380622837370242	0.021621621621621623	0.0
ABCB6	1.0	1.0	1.0
ABCB7	1.0	1.0	1.0
ABCB8	0.5536332179930796	0.5243243243243243	0.5795454545454546
ABCB9	1.0	1.0	1.0
ABCC1	0.9930795847750865	0.9891891891891892	0.9886363636363636
ABCC10	1.0	1.0	1.0
ABCC11	0.8788927335640139	0.8702702702702703	0.7840909090909091
ABCC12	0.9653979238754326	0.918918918918919	0.9545454545454546
ABCC13	0.5155709342560554	0.4972972972972973	0.5568181818181818
ABCC2	0.6816608996539792	0.6486486486486487	0.5454545454545454
ABCC3	0.33217993079584773	0.34594594594594597	0.32954545454545453
ABCC4	0.9273356401384083	0.8864864864864865	0.9659090909090909
ABCC5	1.0	1.0	1.0
ABCC6	0.3806228373702422	0.40540540540540543	0.48863636363636365
ABCC8	0.8408304498269896	0.8378378378378378	0.8636363636363636
ABCC9	0.5294117647058824	0.4540540540540541	0.6022727272727273
ABCD1	0.9896193771626297	0.9945945945945946	0.9886363636363636
ABCD2	0.23875432525951557	0.24324324324324326	0.25
ABCD3	1.0	1.0	1.0
ABCD4	0.5363321799307958	0.5621621621621622	0.6818181818181818
ABCE1	1.0	1.0	1.0
ABCF1	1.0	1.0	1.0
ABCF2	1.0	1.0	1.0
ABCF3	1.0	1.0	1.0
ABCG1	0.6020761245674741	0.5567567567567567	0.7386363636363636
